"i"	"protID"	"spname"	"group"	"assembly"	"symM3"	"symM2"	"symM1"	"sym0"	"sym1"	"sym2"	"sym3"	"strandM3"	"strandM2"	"strandM1"	"strand0"	"strand1"	"strand2"	"strand3"	"accM3"	"accM2"	"accM1"	"acc0"	"acc1"	"acc2"	"acc3"	"nameM3"	"nameM2"	"nameM1"	"name0"	"name1"	"name2"	"name3"	"prot_feature_tables_all_fn"
"265"	"265"	"UBQ04634.1"	"Tepidimonas_taiwanensis_LMG_22826"	"Beta-proteo"	"GCA_020162115.1"	"ribH"	"nusB"	"ybgC"	"tolQ"	""	"tolA"	""	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"UBQ04631.1"	"UBQ04632.1"	"UBQ04633.1"	"UBQ04634.1"	"UBQ04635.1"	"UBQ04636.1"	"UBQ04637.1"	"6,7-dimethyl-8-ribityllumazine synthase"	"transcription antitermination factor NusB"	"tol-pal system-associated acyl-CoA thioesterase"	"protein TolQ"	"ExbD/TolR family protein"	"cell envelope integrity protein TolA"	"trypsin-like peptidase domain-containing protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"266"	"266"	"QKS27990.1"	"Accumulibacter_similis_SSB1"	"Beta-proteo"	"GCA_013347225.1"	""	"ruvB"	"ybgC"	"tolQ"	"tolR"	"tolA"	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"QKS27993.1"	"QKS27992.1"	"QKS27991.1"	"QKS27990.1"	"QKS27989.1"	"QKS27988.1"	"QKS27987.1"	"AI-2E family transporter"	"Holliday junction branch migration DNA helicase RuvB"	"tol-pal system-associated acyl-CoA thioesterase"	"protein TolQ"	"protein TolR"	"cell envelope integrity protein TolA"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"267"	"267"	"APW43236.1"	"Rhodoferax_saidenbachensis_DSM_22694"	"Beta-proteo"	"GCA_001955715.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"APW43233.1"	"APW43234.1"	"APW43235.1"	"APW43236.1"	"APW43237.1"	"APW43238.1"	"APW43239.1"	"6,7-dimethyl-8-ribityllumazine synthase"	"N utilization substance protein B"	"aminotransferase"	"protein TolQ"	"protein TolR"	"protein TolA"	"DNA polymerase III subunit alpha"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"268"	"268"	"ATU66653.1"	"Rhizobacter_gummiphilus_NBRC_109400"	"Beta-proteo"	"GCA_002762215.1"	""	""	"ybgC"	"tolQ"	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"ATU66651.1"	"ATU68658.1"	"ATU66652.1"	"ATU66653.1"	"ATU66654.1"	"ATU68659.1"	"ATU66655.1"	"serine/threonine protein kinase"	"hypothetical protein"	"tol-pal system-associated acyl-CoA thioesterase"	"protein TolQ"	"protein TolR"	"protein TolA"	"RNA polymerase subunit sigma-70"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"269"	"269"	"QVL32859.1"	"Telmatocola_spagniphila_spT"	"Planctomycetes"	"GCA_018398935.1"	""	"hisA"	""	""	""	""	""	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"QVL32856.1"	"QVL32857.1"	"QVL32858.1"	"QVL32859.1"	"QVL32860.1"	"QVL32861.1"	"QVL32862.1"	"DUF4337 domain-containing protein"	"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase"	"elongation factor G"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"lysophospholipid acyltransferase family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"270"	"270"	"BDB95989.1"	"Hydrogenosomobacter_endosymbioticus_200920"	"Alpha-proteo"	"GCA_021654655.1"	""	""	"ruvC"	""	"tolR"	""	""	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"BDB95987.1"	""	"BDB95988.1"	"BDB95989.1"	"BDB95990.1"	"BDB95991.1"	""	"hypothetical protein"	"tRNA-His"	"crossover junction endodeoxyribonuclease RuvC"	"hypothetical protein"	"protein TolR"	"hypothetical protein"	"tRNA-Val"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"271"	"271"	"AEO48685.1"	"Rhodosprillum_rubrum_F11"	"Alpha-proteo"	"GCA_000225955.1"	""	""	""	""	""	""	"rplM"	"-"	"+"	"+"	"-"	"-"	"-"	"-"	"AEO48688.1"	"AEO48687.1"	"AEO48686.1"	"AEO48685.1"	"AEO48684.1"	"AEO48683.1"	"AEO48682.1"	"two component, sigma54 specific, Fis family transcriptional regulator"	"hypothetical protein"	"enoyl-CoA hydratase"	"MotA/TolQ/ExbB proton channel"	"biopolymer transport protein ExbD/TolR"	"TonB-like protein"	"50S ribosomal protein L13"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"272"	"272"	"AIQ91305.1"	"Methylobacterium_oryzae_CBMB20"	"Alpha-proteo"	"GCA_000757795.1"	""	""	""	""	""	""	""	"-"	"+"	"+"	"+"	"+"	"+"	"-"	"AIQ91302.1"	"AIQ91303.1"	"AIQ91304.1"	"AIQ91305.1"	"AIQ91306.1"	"AIQ91307.1"	"AIQ91308.1"	"Heat shock protein Hsp20"	"protein of unassigned function"	"protein of unassigned function"	"TolQ protein"	"TolR protein"	"TolA protein"	"protein of unassigned function"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"273"	"273"	"UBQ06174.1"	"Tepidimonas_taiwanensis_LMG_22826"	"Beta-proteo"	"GCA_020162115.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"UBQ06177.1"	"UBQ06176.1"	"UBQ06175.1"	"UBQ06174.1"	"UBQ06173.1"	"UBQ06172.1"	"UBQ06171.1"	"Fe2+-dependent dioxygenase"	"alpha-hydroxy-acid oxidizing protein"	"energy transducer TonB"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"Bax inhibitor-1 family protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"274"	"274"	"SNW07143.1"	"Eikenella_corrodens_NCTC10596"	"Beta-proteo"	"GCA_900187105.1"	""	""	""	"tolQ"	"exbD"	"ileS"	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"SNW07134.1"	"SNW07136.1"	"SNW07139.1"	"SNW07143.1"	"SNW07145.1"	"SNW07148.1"	"SNW07151.1"	"Uncharacterised protein"	"Uncharacterised protein"	"Ribonucleases G and E"	"biopolymer transport protein ExbB"	"Biopolymer transport protein exbD"	"Isoleucine--tRNA ligase"	"Uncharacterised protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"275"	"275"	"APW42557.1"	"Rhodoferax_saidenbachensis_DSM_22694"	"Beta-proteo"	"GCA_001955715.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"APW42560.1"	"APW42559.1"	"APW42558.1"	"APW42557.1"	"APW42556.1"	"APW42555.1"	"APW42554.1"	"TonB-dependent siderophore receptor"	"PKHD-type hydroxylase"	"energy transducer TonB"	"biopolymer transporter"	"biopolymer transporter ExbD"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"276"	"276"	"QKS29082.1"	"Accumulibacter_similis_SSB1"	"Beta-proteo"	"GCA_013347225.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"QKS29085.1"	"QKS29084.1"	"QKS29083.1"	"QKS29082.1"	"QKS29081.1"	"QKS29080.1"	"QKS29079.1"	"LysR family transcriptional regulator"	"TonB-dependent receptor"	"energy transducer TonB"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"hypothetical protein"	"dinitrogenase iron-molybdenum cofactor biosynthesis protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"277"	"277"	"QEI19039.1"	"Cellvibrio_japonicus_ADPT1-KOJIBIOSE"	"Gamma-proteo"	"GCA_008120875.1"	""	""	""	""	""	""	""	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"QEI19042.1"	"QEI19041.1"	"QEI19040.1"	"QEI19039.1"	"QEI19038.1"	"QEI19037.1"	"QEI19036.1"	"hypothetical protein"	"DUF3459 domain-containing protein"	"energy transducer TonB"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"TonB-dependent siderophore receptor"	"DUF3649 domain-containing protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"278"	"278"	"ATU67891.1"	"Rhizobacter_gummiphilus_NBRC_109400"	"Beta-proteo"	"GCA_002762215.1"	""	""	""	""	""	""	""	"-"	"+"	"+"	"+"	"+"	"-"	"+"	"ATU68754.1"	"ATU67889.1"	"ATU67890.1"	"ATU67891.1"	"ATU67892.1"	""	"ATU67893.1"	"ferric iron uptake transcriptional regulator"	"outer membrane protein assembly factor BamE"	"4-hydroxy-tetrahydrodipicolinate reductase"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"279"	"279"	"APW44370.1"	"Rhodoferax_saidenbachensis_DSM_22694"	"Beta-proteo"	"GCA_001955715.1"	""	""	""	""	""	""	""	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"APW44373.1"	"APW44372.1"	"APW44371.1"	"APW44370.1"	"APW44369.1"	"APW44368.1"	"APW44367.1"	"transcriptional repressor"	"outer membrane protein assembly factor BamE"	"4-hydroxy-tetrahydrodipicolinate reductase"	"flagellar motor protein MotA"	"biopolymer transporter ExbD"	"leucine--tRNA ligase"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"280"	"280"	"ATU64277.1"	"Rhizobacter_gummiphilus_NBRC_109400"	"Beta-proteo"	"GCA_002762215.1"	""	""	""	""	""	""	""	"-"	"+"	"+"	"-"	"-"	"-"	"-"	"ATU64280.1"	"ATU64279.1"	"ATU64278.1"	"ATU64277.1"	"ATU64276.1"	"ATU64275.1"	"ATU64274.1"	"hypothetical protein"	"sensor histidine kinase"	"DNA-binding response regulator"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"energy transducer TonB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"281"	"281"	"ADY81560.1"	"Acinetobacter_pittii_PHEA-2"	"Gamma-proteo"	"GCA_000191145.1"	""	"btuB"	"tonB"	"exbB1"	"exbD1"	"exbD"	""	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"ADY81563.1"	"ADY81562.1"	"ADY81561.1"	"ADY81560.1"	"ADY81559.1"	"ADY81558.1"	"ADY81557.1"	"hypothetical protein"	"TonB-dependent receptor"	"periplasmic protein TonB"	"putative biopolymer transport protein ExbB"	"biopolymer transport protein ExbD/TolR"	"biopolymer transport ExbD protein"	"acetyltransferase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"282"	"282"	"QNQ10683.1"	"spingomonas_alpina_DSM_22537"	"Alpha-proteo"	"GCA_014490665.1"	""	""	""	""	""	""	""	"+"	"-"	"+"	"+"	"+"	"+"	"+"	"QNQ10681.1"	"QNQ11886.1"	"QNQ10682.1"	"QNQ10683.1"	"QNQ10684.1"	"QNQ10685.1"	"QNQ10686.1"	"hypothetical protein"	"hypothetical protein"	"TonB family protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"tetratricopeptide repeat protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"283"	"283"	"ADY81773.1"	"Acinetobacter_pittii_PHEA-2"	"Gamma-proteo"	"GCA_000191145.1"	"atsB"	"atsC"	"tonB2"	"exbB"	"exbD"	"crp"	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ADY81770.1"	"ADY81771.1"	"ADY81772.1"	"ADY81773.1"	"ADY81774.1"	"ADY81775.1"	"ADY81776.1"	"sulfate ester permease protein (ABC superfamily, membrane)"	"sulfate ester transporter (ABC superfamily, ATP_bind)"	"putative TonB-like protein"	"putative biopolymer transport protein (ExbB-like)"	"putative biopolymer transport protein (ExbD-like)"	"cyclic nucleotide-binding:bacterial regulatory protein"	"putative alkylsulfatase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"284"	"284"	"ADY81763.1"	"Acinetobacter_pittii_PHEA-2"	"Gamma-proteo"	"GCA_000191145.1"	"ssuA"	"ssuD"	"tonB2"	"exbB"	"exbD"	"gsiB"	"foxA"	"-"	"+"	"+"	"+"	"+"	"-"	"+"	"ADY81760.1"	"ADY81761.1"	"ADY81762.1"	"ADY81763.1"	"ADY81764.1"	"ADY81765.1"	"ADY81766.1"	"sulfonate/nitrate/taurine transport system substrate-binding protein"	"putative FMNH2-dependent monooxygenase (methane/alcane sulfonate)"	"putative TonB-like protein"	"putative biopolymer transport protein (ExbB-like)"	"putative biopolymer transport protein (ExbD-like)"	"putative oligopeptide binding protein (ABC superfamily, peri_bind)"	"TonB-dependent receptor"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"285"	"285"	"QEI19895.1"	"Cellvibrio_japonicus_ADPT1-KOJIBIOSE"	"Gamma-proteo"	"GCA_008120875.1"	""	""	""	""	""	""	""	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"QEI19892.1"	"QEI19893.1"	"QEI19894.1"	"QEI19895.1"	"QEI19896.1"	"QEI19897.1"	"QEI19898.1"	"ABC transporter permease"	"nitrate ABC transporter substrate-binding protein"	"energy transducer TonB"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"hypothetical protein"	"ABC transporter substrate-binding protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"286"	"286"	"AAG03587.1"	"Pseudomonas_aeruginosa_PAO1"	"Gamma-proteo"	"GCA_000006765.1"	"pntAB"	"pntB"	"tonB2"	"exbB1"	"exbD1"	""	""	"+"	"+"	"+"	"+"	"+"	"-"	"+"	"ABG56539.1"	"AAG03585.1"	"AAG03586.1"	"AAG03587.1"	"AAG03588.1"	"AAG03589.1"	"AAG03590.1"	"putative NAD(P) transhydrogenase, subunit alpha part 2"	"pyridine nucleotide transhydrogenase, beta subunit"	"TonB2"	"transport protein ExbB"	"transport protein ExbD"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"287"	"287"	"ADY83951.1"	"Acinetobacter_pittii_PHEA-2"	"Gamma-proteo"	"GCA_000191145.1"	""	"purU1"	"tonB"	"exbB"	"exbD"	"msrA"	""	"+"	"+"	"+"	"+"	"+"	"-"	"-"	"ADY83948.1"	"ADY83949.1"	"ADY83950.1"	"ADY83951.1"	"ADY83952.1"	"ADY83953.1"	"ADY83954.1"	"hypothetical protein"	"formyltetrahydrofolate deformylase"	"siderophore-mediated iron transport protein"	"MotA/TolQ/ExbB proton channel"	"putative biopolymer transport protein (ExbD)"	"peptide methionine sulfoxide reductase"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"288"	"288"	"ATU63282.1"	"Rhizobacter_gummiphilus_NBRC_109400"	"Beta-proteo"	"GCA_002762215.1"	""	""	""	""	""	""	""	"+"	"-"	"+"	"+"	"+"	"+"	"+"	"ATU63279.1"	"ATU63280.1"	"ATU63281.1"	"ATU63282.1"	"ATU63283.1"	"ATU63284.1"	"ATU63285.1"	"alanine transaminase"	"phage holin family protein"	"biopolymer transporter"	"biopolymer transporter ExbB"	"biopolymer transporter ExbD"	"hemin uptake protein HemP"	"DUF2325 domain-containing protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"289"	"289"	"CAL34348.1"	"Campylobacter_jejuni_subsp_Jejuni_NCTC_11168"	"Epsilon-proteo"	"GCA_000009085.1"	""	""	""	"exbB1"	"exbD1"	"tonB1"	""	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"CAL34345.1"	"CAL34346.1"	"CAL34347.1"	"CAL34348.1"	"CAL34349.1"	"CAL34350.1"	"CAL34351.1"	"putative lipoprotein"	"putative iron transport protein"	"putative TonB-denpendent outer membrane receptor"	"biopolymer transport protein"	"biopolymer transport protein"	"TonB transport protein"	"putative transmembrane transport protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"290"	"290"	"ABF91581.1"	"Myxococcus_xanthus_DK_1622"	"Delta-proteo"	"GCA_000012685.1"	"carF"	"murI"	""	""	"tolR"	""	"tolB"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"ABF87487.1"	"ABF87078.1"	"ABF89258.1"	"ABF91581.1"	"ABF92022.1"	"ABF92906.1"	"ABF89846.1"	"carotenoid synthesis regulator CarF"	"glutamate racemase"	"hypothetical protein"	"transporter, MotA/TolQ/ExbB proton channel family"	"transport energizing protein TolR"	"TonB family protein"	"tolB protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"291"	"291"	"UEO06636.1"	"Myxococcus_xanthus_DZ2"	"Delta-proteo"	"GCA_020827275.1"	""	"murI"	""	""	"tolR"	""	"tolB"	"-"	"+"	"+"	"-"	"-"	"-"	"-"	"UEO06639.1"	"UEO06638.1"	"UEO06637.1"	"UEO06636.1"	"UEO06635.1"	"UEO06634.1"	"UEO06633.1"	"fatty acid desaturase family protein"	"glutamate racemase"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"protein TolR"	"TonB family protein"	"Tol-Pal system beta propeller repeat protein TolB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"292"	"292"	"AFE07999.1"	"Corallococcus_coralloides_DSM_2259"	"Delta-proteo"	"GCA_000255295.1"	"carF"	"murI"	""	"aglX"	"tolR"	""	"tolB"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"AFE08264.1"	"AFE09536.1"	"AFE06830.1"	"AFE07999.1"	"AFE10517.1"	"AFE06831.1"	"AFE10510.1"	"carotenoid synthesis regulator CarF"	"glutamate racemase"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"transport energizing protein TolR"	"TonB family protein"	"TolB protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"293"	"293"	"ADO74176.1"	"Stigmatella_aurantiaca_DW4-3-1"	"Delta-proteo"	"GCA_000165485.1"	"carF"	"murI"	""	"aglX"	""	""	"tolB"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"ADO74173.1"	"ADO74174.1"	"ADO74175.1"	"ADO74176.1"	"ADO74177.1"	"ADO74178.1"	"ADO74179.1"	"Carotenoid synthesis regulator CarF"	"Glutamate racemase"	"conserved uncharacterized protein"	"Adventurous gliding motility protein X"	"Transport energizing protein TolR"	"TonB-like protein"	"Protein TolB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"294"	"294"	"ACL64052.1"	"Anaeromyxobacter_dehalogenans_2CP-1"	"Delta-proteo"	"GCA_000022145.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"ACL64055.1"	"ACL64054.1"	"ACL64053.1"	"ACL64052.1"	"ACL64051.1"	"ACL64050.1"	"ACL64049.1"	"conserved hypothetical protein"	"glutamate racemase"	"conserved hypothetical protein"	"protein TolQ"	"protein TolR"	"TonB family protein"	"TolB domain protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"295"	"295"	"AWV88602.1"	"Bradymonas_sediminis_FA350"	"Delta-proteo"	"GCA_003258315.1"	""	""	"tnpA"	""	""	""	""	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"AWV88599.1"	"AWV88600.1"	"AWV88601.1"	"AWV88602.1"	"AWV88603.1"	"AWV88604.1"	"AWV88605.1"	"hypothetical protein"	"IS3 family transposase"	"IS200/IS605 family transposase"	"flagellar motor protein MotA"	"protein TolR"	"hypothetical protein"	"translocation protein TolB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"296"	"296"	"AHZ85825.1"	"Bdellovibrio_bacteriovorus_HD100"	"Bdellovibrionota"	"GCA_000691605.1"	""	""	""	""	""	""	""	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"AHZ85828.1"	"AHZ85827.1"	"AHZ85826.1"	"AHZ85825.1"	"AHZ85824.1"	"AHZ85823.1"	"AHZ85822.1"	"cysteine desulfurase"	"hypothetical protein"	"hypothetical protein"	"adventurous gliding motility protein X"	"biopolymer transporter ExbD"	"energy transducer TonB"	"translocation protein TolB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"297"	"297"	"QTD52661.1"	"Sulfidibacter_corallicola_M133"	"Acidobacteriota"	"GCA_017498545.1"	"mutM"	""	"coaD"	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"QTD52664.1"	"QTD52663.1"	"QTD52662.1"	"QTD52661.1"	"QTD52660.1"	"QTD52659.1"	"QTD52658.1"	"bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase"	"DNA repair protein RecN"	"pantetheine-phosphate adenylyltransferase"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"TonB family protein"	"PD40 domain-containing protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"298"	"298"	"AAR33363.1"	"Geobacter_sulfurreducens_PCA"	"Delta-proteo"	"GCA_000007985.2"	"hrcA"	"hemN"	""	""	""	""	""	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"AAR33366.1"	"AAR33365.1"	"AAR33364.1"	"AAR33363.1"	"AAR33362.1"	"AAR33361.2"	"AAR33360.1"	"heat-inducible transcription repressor HrcA"	"oxygen-independent coproporphyrinogen III oxidase"	"nitrilase/amidohydrolase superfamily protein, class 5"	"biopolymer transport membrane proton channel, TolQ-related protein"	"biopolymer transport membrane protein, TolR-related protein"	"periplasmic energy transduction protein, TonB-related protein"	"biopolymer transport periplasmic beta-propeller repeat protein, TolB-related protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"299"	"299"	"CAG37138.1"	"Desulfotalea_psychrophila_LSv54"	"Delta-proteo"	"GCA_000025945.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"CAG37135.1"	"CAG37136.1"	"CAG37137.1"	"CAG37138.1"	"CAG37139.1"	"CAG37140.1"	"CAG37141.1"	"related to phytoene dehydrogenase"	"probable 3-oxoacyl-[acyl-carrier protein] reductase"	"related to (3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase"	"related to biopolymer transport protein (TolQ)"	"related to biopolymer transport protein (TolR)"	"unknown protein"	"related to TolB protein [Precursor]"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"300"	"300"	"AQV01680.1"	"Desulfococcus_multivorans_DSM_2059"	"Delta-proteo"	"GCA_002009335.2"	"sdhA"	""	""	""	""	""	""	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"AQV01677.1"	"AQV01678.1"	"AQV01679.1"	"AQV01680.1"	"AQV01681.1"	"AQV01682.1"	"AQV01683.1"	"succinate dehydrogenase flavoprotein subunit"	"succinate dehydrogenase"	"metal-dependent phosphohydrolase"	"protein TolQ"	"biopolymer transporter ExbD"	"hypothetical protein"	"Tol-Pal system beta propeller repeat protein TolB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"301"	"301"	"ABC76751.1"	"Syntrophus_aciditrophicus_SB"	"Delta-proteo"	"GCA_000013405.1"	""	""	""	NA	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ABC76748.1"	"ABC76749.1"	"ABC76750.1"	"ABC76751.1"	"ABC76752.1"	"ABC76753.1"	"ABC76754.1"	"L-lysine 2,3-aminomutase"	"protein translation Elongation Factor P (EF-P)"	"truncated lysyl-tRNA synthetase"	"tolQ protein"	"tolR protein"	"tolA protein"	"tolB protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"302"	"302"	"ACF11057.1"	"Chlorobaculum_parvum_NCIB_8327"	"Chlorobi"	"GCA_000020505.1"	""	""	""	""	""	""	""	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"ACF11054.1"	"ACF11055.1"	"ACF11056.1"	"ACF11057.1"	"ACF11058.1"	"ACF11059.1"	"ACF11060.1"	"acetolactate synthase, large subunit, biosynthetic type"	"dihydroxy-acid dehydratase"	"protein of unknown function DUF92 transmembrane"	"protein TolQ"	"protein TolR"	"conserved hypothetical protein"	"Tol-Pal system beta propeller repeat protein TolB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"303"	"303"	"ACF44367.1"	"Pelodictyon_phaeoclathratiforme_BU-1"	"Chlorobi"	"GCA_000020645.1"	""	""	""	NA	""	""	""	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"ACF44370.1"	"ACF44369.1"	"ACF44368.1"	"ACF44367.1"	"ACF44366.1"	"ACF44365.1"	"ACF44364.1"	"dihydroxy-acid dehydratase"	"hypothetical protein"	"protein of unknown function DUF92 transmembrane"	"protein TolQ"	"Biopolymer transport protein ExbD/TolR"	"transcriptional regulator, Fis family"	"WD40 domain protein beta Propeller"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"304"	"304"	"ACD89825.1"	"Chlorobium_limicola_DSM_245"	"Chlorobi"	"GCA_000020465.1"	""	""	""	NA	""	""	""	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"ACD89822.1"	"ACD89823.1"	"ACD89824.1"	"ACD89825.1"	"ACD89826.1"	"ACD89827.1"	"ACD89828.1"	"acetolactate synthase, large subunit, biosynthetic type"	"dihydroxy-acid dehydratase"	"protein of unknown function DUF92 transmembrane"	"protein TolQ"	"protein TolR"	"TonB family protein"	"Tol-Pal system beta propeller repeat protein TolB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"305"	"305"	"ABL64907.1"	"Chlorobium_phaeobacteroides_DSM_266"	"Chlorobi"	"GCA_000015125.1"	""	""	""	""	""	""	""	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"ABL64904.1"	"ABL64905.1"	"ABL64906.1"	"ABL64907.1"	"ABL64908.1"	"ABL64909.1"	"ABL64910.1"	"acetolactate synthase, large subunit"	"dihydroxyacid dehydratase"	"protein of unknown function DUF92, transmembrane"	"Cell division and transport-associated protein TolQ"	"Cell division and transport-associated protein TolR"	"Cell division and transport-associated protein TolA"	"WD40 domain protein beta Propeller"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"306"	"306"	"SLM46359.1"	"Nitrospra_japonica_NJ11"	"Nitrospirae"	"GCA_900169565.1"	"xerD"	""	""	"tolQ"	"exbD"	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"SLM46360.1"	""	""	"SLM46359.1"	"SLM46358.1"	"SLM46357.1"	"SLM46356.1"	"Tyrosine recombinase XerD"	"tRNA-Val"	"tRNA-Asp"	"Protein TolQ"	"Biopolymer transport protein ExbD"	"conserved protein of unknown function"	"TolB protein, periplasmic protein involved in the tonb-independent uptake of group A colicins"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
