	Download script?	GenBank ID	RefSeq	FTP path	GenBank accession	Flagellum	Motility	Phylum	Class	Order	Family	Genus	Species	Strain	Reference	Notes	Isolation source	Habitat/Lifestyle	flag-1	flag-2	flag-3a	flag-3b	flag-4	flag-5	sum	3ish	3plain	manual	which	spname_in_lit	notes31	group	notes32
		GCA_000987835.1	GCF_000987835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/835/GCA_000987835.1_ASM98783v1	CP011308.1	No	Nonmotile	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	lithotrophicum	ATCC BAA-797																			
		GCA_000009905.1	GCF_000009905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/905/GCA_000009905.1_ASM990v1	AP006840.1			Firmicutes	Clostridia	Eubacteriales	Symbiobacteriaceae	Symbiobacterium	thermophilum	IAM 14863		Low gc gram+																	
		GCA_000013405.1	GCF_000013405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/405/GCA_000013405.1_ASM1340v1	CP000252.1	No	Nonmotile	Proteobacteria	Deltaproteobacteria	Syntrophales	Syntrophaceae	Syntrophus	aciditrophicus	SB	McInerney et al 2007	Although a full complement of flagellar and chemosensory genes are present, motility and chemotaxis have not been observed with laboratory cultures.																	
		GCA_018398935.1	GCF_018398935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/398/935/GCA_018398935.1_ASM1839893v1	CP074694.1			Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Telmatocola	sphagniphila	SP2T																			
		GCA_018398935.1		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/398/935/GCA_018398935.1_ASM1839893v1	CP074694.1			Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Telmatocola	sphagniphila	SP2T																			
		GCA_008838325.1	GCF_008838325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/838/325/GCA_008838325.1_ASM883832v1	CP042829.1	Yes	Motile	Chloroflexi	Tepidiformia	Tepidiformales	Tepidiformaceae	Tepidiforma	bonchosmolovskayae	3753O 	 Kochetkova et al 2020	Green non-sulfur bacteria, aerobic moderately thermophilic																	
		GCA_020162115.1	GCF_020162115.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/162/115/GCA_020162115.1_ASM2016211v1	CP083911.1			Proteobacteria	Betaproteobacteria	Burkholderiales		Tepidimonas	taiwanensis	LMG 22826																			
	Y	GCA_000265425.1	GCF_000265425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/425/GCA_000265425.1_ASM26542v1	CP003379.1	No	Motile	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terriglobus	roseus	DSM 18391																			
		GCA_000019085.1	GCF_000019085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/085/GCA_000019085.1_ASM1908v1	CP000924.1			Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	pseudethanolicus	ATCC 33223		Low gc gram+																	
		GCA_000025605.1	GCF_000025605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/605/GCA_000025605.1_ASM2560v1	CP001931.1	Yes	Motile	Aquificota	Aquificae	Aquificales	Aquificaceae	Thermocrinis	albus	DSM 14484																			
		GCA_000512735.1	GCF_000512735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/735/GCA_000512735.1_ASM51273v1	CP007028.1	Yes	Motile	Aquificota	Aquificae	Aquificales	Aquificaceae	Thermocrinis	ruber	DSM 23557																			
		GCA_000020985.1	GCF_000020985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/985/GCA_000020985.1_ASM2098v1	CP001147.1			Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	Thermodesulfovibrio	yellowstonii	DSM 11347																			
		GCA_009905215.1		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/905/215/GCA_009905215.1_ASM990521v1	CP047593.1			Kiritimatiellaeota	Tichowtungiia	Tichowtungiales	Tichowtungiaceae	Tichowtungia	aerotolerans	S-5007																			
		GCA_004103715.1	GCF_004103715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/103/715/GCA_004103715.1_ASM410371v1	CP035282.1			Firmicutes	Tissierellia	Tissierellales	Tissierellaceae	Tissierella	sp. JN-28																				
		GCA_003076575.1	GCF_003076575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/076/575/GCA_003076575.1_ASM307657v1	CP021113.1			Spirochaetes		Spirochaetales	Treponemataceae	Treponema	pallidum subsp. pertenue	LMNP-1																			
		GCA_023016405.1	GCF_023016405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/016/405/GCA_023016405.1_ASM2301640v1	CP095417.1			Spirochaetes		Spirochaetales	Treponemataceae	Treponema	pallidum subsp. Pallidum	TpN-CL4 																			
		GCA_000092425.1	GCF_000092425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/425/GCA_000092425.1_ASM9242v1	CP002049.1	No	Nonmotile	Deinococcus-Thermus	Deinococci	Trueperales	Trueperaceae	Truepera	radiovictrix	DSM 17093																			
		GCA_013046825.1	GCF_013046825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/046/825/GCA_013046825.1_ASM1304682v1	CP053187.1			Firmicutes	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae	Turicibacter	sanguinis	MOL361																			
		GCA_903937045.1	Annotated with Prokka	/Users/cpue388/Documents/GitHub/bioinfRhints/flag/2023-04-06_genomes_to_add/CAIZXV01_Verrucomicrobium_sp_PRJEB3868	CAIZXV01			Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured Verrucomicrobium 	sp.	WGS isolate:  I-3_bin-033		isolation_source:  pond																	
		GCA_903889845.1 	Annotated with Prokka	/Users/cpue388/Documents/GitHub/bioinfRhints/flag/2023-04-06_genomes_to_add/Verrucomicrobium_sp_PRJEB38681_CAISZB01	CAISZB01			Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured Verrucomicrobium 	sp.	WGS isolate:  I3b_bin-317		isolation_source:  pond																	
		GCA_002162075.1	GCF_002162075.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/162/075/GCA_002162075.1_ASM216207v1	CP021423.1	Yes?	Motile?	Armatimonadetes	unclassified Armatimonadota			Armatimonadetes	bacterium	Uphvl-Ar1																			
		GCA_000196095.1	GCF_000196095.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/095/GCA_000196095.1_ASM19609v1	BA000031.2	Yes	Motile	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	parahaemolyticus	RIMD 2210633 chromosome 1	Purple bacteria and relatives																		
		GCA_000196095.1	GCF_000196095.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/095/GCA_000196095.1_ASM19609v1	BA000032.2	Yes	Motile	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	parahaemolyticus	RIMD 2210633 chromosome 2	Purple bacteria and relatives																		
		GCA_008369605.1	GCF_008369605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/369/605/GCA_008369605.1_ASM836960v1	CP043556.1	Yes	Motile	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	cholerae	RFB16 chromosome 2	Purple bacteria and relatives																		
		GCA_008369605.1	GCF_008369605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/369/605/GCA_008369605.1_ASM836960v1	CP043554.1	Yes	Motile	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	cholerae	RFB16 chromosome 1	Purple bacteria and relatives																		
		GCA_008369605.1	GCF_008369605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/369/605/GCA_008369605.1_ASM836960v1	CP043555.1	Yes	Motile	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	cholerae	RFB16 plasmid	Purple bacteria and relatives																		
	*Supressed*	GCA_002998355.1		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/998/355/GCA_002998355.1_ASM299835v1	CP027227.1			Lentisphaerae	Lentisphaeria	Victivallales	Victivallales	Victivallales	Victivallales	CCUG 44730																			
		GCA_000832905.1	GCF_000832905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/832/905/GCA_000832905.1_ASM83290v1	CP009709.1			Firmicutes	Bacilli	Bacillales	Bacillaceae	Weizmannia	coagulans	DSM 1 = ATCC 7050		Low gc gram+																	
		GCA_016584425.1	GCF_016584425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/584/425/GCA_016584425.1_ASM1658442v1	NZ_CP046925.1			Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	endosymbiont of Drosophila melanogaster	isolate wMel																			
		GCA_000834295.1	GCF_000834295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/295/GCA_000834295.1_ASM83429v1	CP009712.1	No	Nonmotile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	pseudotuberculosis	IP 32953																			
		GCA_000834295.1	GCF_000834295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/295/GCA_000834295.1_ASM83429v2	CP009711.1	No	Nonmotile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	pseudotuberculosis	IP 32953 plasmid pYAC_1																			
		GCA_000834295.1	GCF_000834295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/295/GCA_000834295.1_ASM83429v3	CP009710.1	No	Nonmotile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	pseudotuberculosis	IP 32953 plasmid pYAC_2																			
		GCA_000834775.1	GCF_000834775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/775/GCA_000834775.1_ASM83477v1	CP009844.1			Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	pestis	Dodson																			
		GCA_000834775.1	GCF_000834775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/775/GCA_000834775.1_ASM83477v2	CP009842.1			Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	pestis	Dodson plasmid pCD																			
		GCA_000834775.1	GCF_000834775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/775/GCA_000834775.1_ASM83477v3	CP009843.1			Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	pestis	Dodson plasmid pMT																			
		GCA_003661315.1	SAMN09215071	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/661/315/GCA_003661315.1_ASM366131v1	RLG45601.1			Archaea	TACK group			Korarchaeota	Candidatus Korarchaeota archaeon	B41_G2		isolation_source="deep-sea hydrothermal vent sediments																	
		GCA_003696825.1	SAMN10119959	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/696/825/GCA_003696825.1_ASM369682v1	RMG20999.1			Archaea	Euryarchaeota			unclassified Euryarchaeota	archaeon	isolate J059		hot springs metagenome																	
		GCA_008000775.1	GCF_008000775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/000/775/GCA_008000775.1_ASM800077v1	CP042905.1			Archaea	Asgard group	 Candidatus Lokiarchaeota		Candidatus Prometheoarchaeum	Candidatus Prometheoarchaeum syntrophicum	MK-D1																			
		GCA_000009985.1	GCF_000009985.1		NC_007626.1		Motile	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	magneticum	AMB-1																			
		GCA_000016645.1	GCF_000016645.1		CP000685.1		Motile	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	johnsoniae	UW101																			
		GCA_000348725.1	GCF_000348725.1		CP003537.1		Motile	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Pseudobdellovibrio	exovorus	JSS																			
		GCA_003258315.1	GCF_003258315.1		CP030032.1		Motile	Proteobacteria	Deltaproteobacteria	Bradymonadales	Bradymonadaceae	Bradymonas	sediminis	FA350																			
		GCA_003812925.1	GCF_003812925.1		CP033844.1		Motile	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	oxytoca	FDAARGOS_500																			
		GCA_024459955.1	GCF_024459955.1		ASM2445995v1		Motile	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Anaerovorax	odorimutans	SL.3.17																			
		PRJEB3868_Verrucomicrobium_sp_CAIZXV01	GCF_903937045.1	/Users/cpue388/Documents/GitHub/bioinfRhints/flag/2023-04-06_genomes_to_add/CAIZXV01_Verrucomicrobium_sp_PRJEB3868	CAIZXV01		Motile	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured Verrucomicrobium 	sp.	WGS isolate:  I-3_bin-033		isolation_source:  pond																	
		PRJEB38681_Verrucomicrobium_sp_CAISZB01	GCF_903889845.1 	/Users/cpue388/Documents/GitHub/bioinfRhints/flag/2023-04-06_genomes_to_add/Verrucomicrobium_sp_PRJEB38681_CAISZB01	CAISZB01		Motile	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured Verrucomicrobium 	sp.	WGS isolate:  I3b_bin-317		isolation_source:  pond																	
	NJM_2023-07-16	GCA_000219125.2	GCF_000219125.1		ASM21912v1		Motile	Firmicutes_C	Negativicutes	Sporomusales_A	Acetonemaceae	Acetonema	longum	DSM 6540	M D Kane, J A Breznak (1991). Acetonema longum gen. nov. sp. nov., an H2/CO2 acetogenic bacterium from the termite, Pterotermes occidentis. Arch Microbiol. 1991;156(2):91-8. doi: 10.1007/BF00290979 H2-oxidizing CO2-reducing acetogenic bacterium was isolated from gut contents of the wood-feeding termite, Pterotermes occidentis. Cells of representative strain APO-1 were strictly anaerobic. Gram-negative, endospore-forming motile rods	legacy assembly; being updated apparently as of 2023-07-17	https://www-ncbi-nlm-nih-gov.ezproxy.auckland.ac.nz/assembly/GCF_000219125.1?shouldredirect=false													Acetonema longum		Others	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-16	GCA_000014805.1	GCF_000014805.1		ASM1480v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas 	hydrophila	subsp. hydrophila ATCC 7966																Aeromonas hydrophila		Na+	powerSource
	NJM_2023-07-16	GCA_002735225.1	GCF_002735225.1		ASM273522v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	salmonicida	pectinolytica 34mel																Aeromonas salmonicida		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-16	GCA_004919485.1	GCF_004919485.1		ASM491948v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	schubertii	LF1708																Aeromonas schubertii		H+	powerSource
	NJM_2023-07-16	GCA_000298015.1	GCF_000298015.1		Aero_vero_AMC34_V1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	veronii	AMC34																Aeromonas veronii		Gamma	Ferreira_Beeby_2021_Fig1A, Ferreira_Beeby_2021_Fig1BC
	NJM_2023-07-16	GCA_000016265.1	GCF_000016265.1		ASM1626v1		Motile	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	 Rhizobium	rhizogenes			Agrobacterium radiobacter K84 "Should be renamed Rhizobium rhizogenes, see PMID: 20627641"																	
	NJM_2023-07-16	GCA_000092025.1	GCF_000092025.1		ASM9202v1		Motile	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	fabrum		The Genome of the Natural Genetic Engineer Agrobacterium tumefaciens C58 DW Wood, JC Setubal, R Kaul, DE Monks, JP Kitajima	Originally Agrobacterium tumefaciens C58-UWash, published 2001 in Science														Agrobacterium tumefaciens	The original Agrobacterium tumefaciens C56 (-Uwash, published 2001 Science) is now Agrobacterium fabrum	Alpha2	Liu_Ochman_2007b_FigS2_2eqSecondary "Should be renamed Rhizobium rhizogenes, see PMID: 20627641"
	NJM_2023-07-16	GCA_000374485.1	GCF_000374485.1		ASM37448v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Algicola	sagamiensis	DSM 14643																Algicola sagamiensis		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-16	GCA_000011805.1	GCF_000011805.1		ASM1180v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Aliivibrio	fischeri	ES114																Aliivibrio fischeri		Na+	powerSource
	NJM_2023-07-16	GCA_000245735.2	GCF_000245735.1		ASM24573v2		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alishewanella	jeotgali	KCTC 22429																Alishewanella jeotgali		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-16	GCA_000172635.2	GCF_000172635.2		ASM17263v2		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	macleodii	ATCC 27126																Alteromonas macleodii		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-16	GCA_000381785.1	GCF_000381785.1		ASM38178v1		Motile	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Amphritea	japonica	ATCC BAA-1530																Amphritea japonica		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-16	GCA_000292245.2	GCF_000292245.2		ASM29224v2		Motile	Firmicutes	Bacilli	Bacillales_H	Bacillaceae_D	Alkalihalobacillus	alcalophilus	ATCC 27647 = CGMCC 1.3604																Bacillus alcalophilus	now Alkalihalobacillus alcalophilus	Na+_or_K+_or_Rb+	powerSource
	NJM_2023-07-16	GCA_000009825.1	GCF_000009825.1		ASM982v1		Motile	Firmicutes	Bacilli	Bacillales_H	Bacillaceae_D	Alkalihalobacillus	clausii	KSM-K16		Originally Bacillus clausii: https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=637000019														Bacillus clausii strain KSM K16	now Alkalihalobacillus clausii KSM-K16	Na+_or_H+	powerSource
	NJM_2023-07-16	GCA_000011145.1	GCF_000011145.1		ASM1114v1		Motile	Firmicutes	Bacilli	Bacillales_H	Bacillaceae_D	Halalkalibacterium	halodurans	C-125		Originally Bacillus halodurans strain ATCC BAA 125														Bacillus halodurans strain ATCC BAA 125	now Halalkalibacterium halodurans C-125	Na+	powerSource
	NJM_2023-07-16	GCA_000008425.1	GCF_000008425.1		ASM842v1		Motile	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	licheniformis	DSM 13 = ATCC 14580		Originally Bacillus licheniformis strain ATCC 14580														Bacillus licheniformis strain ATCC 14580		H+	powerSource
	NJM_2023-07-16	GCA_000005825.2	GCF_000005825.2		ASM582v2		Motile	Firmicutes	Bacilli	Bacillales_H	Bacillaceae_D	Alkalihalophilus	pseudofirmus	OF4		Originally Bacillus pseudofirmus strain OF4														Bacillus pseudofirmus strain OF4		Na+	powerSource
	NJM_2023-07-16	GCA_024507815.1	GCF_024507815.1		ASM2450781v1		Motile	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	subtilis	natto																Bacillus subtilis subsp natto		Na+	powerSource
	NJM_2023-07-16	GCA_000209795.2	GCF_000209795.2		ASM20979v2		Motile	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	subtilis	natto BEST195																Bacillus subtilis subsp natto strain BEST195		Na+	powerSource
	NJM_2023-07-17	GCA_000070465.1	GCF_000070465.1		ASM7046v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	avium	197N																Bordetella avium		Beta	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-17	GCA_000195675.1	GCF_000195675.1		ASM19567v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	bronchiseptica	RB50																Bordetella bronchiseptica			Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-17	GCA_000021405.1	GCF_000021405.1		ASM2140v1		Motile	Spirochaetota	Spirochaetia	Borreliales	Borreliaceae	Borreliella	burgdorferi	ZS7																Borrelia burgdorferi		Others	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-17	GCA_000284375.1	GCF_000284375.1		ASM28437v1		Motile	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	japonicum	USDA 6																Bradyrhizobium japonicum 1			Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-17	GCA_000011705.1	GCF_000011705.1		ASM1170v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	mallei	ATCC 23344																Burkholderia mallei		Beta	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-17	GCA_000011545.1	GCF_000011545.1		ASM1154v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	pseudomallei	K96243																Burkholderia pseudomallei			Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-17	GCA_000012365.1	GCF_000012365.1		ASM1236v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	thailandensis	E264; ATCC 700388	Malloy, Characterization of an Intracellular Flagellar System in Pathogenic Burkholderia Species Brett, P.J., D. Deshazer & D.E. Woods, (1997) Characterization of Burkholderia pseudomallei and Burkholderia pseudomallei-like strains. Epidemiol Infect 118: 137-148.;																		
	NJM_2023-07-17	GCA_000478685.1	GCF_000478685.1		ASM47868v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photodesmus	katoptron	Akat1	Candidatus															Candidatus Photodesmus katoptron		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-17	GCA_000024465.1	GCF_000024465.1		ASM2446v1		Motile	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillaceae	Puniceispirillum	marinum	IMCC1322	Candidatus															Candidatus Puniceispirillum marinum		Alpha	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-17	GCA_000281085.1	GCF_000281085.1		ASM28108v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Catenovulum	agarivorans	YM01																Catenovulum agarivorans		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-17	GCA_000374805.1	GCF_000374805.1		ASM37480v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	Chitiniphilus	shinanonensis	DSM 23277																Chitiniphilus shinanonensis		Beta	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-17	GCA_000007705.1	GCF_000007705.1		ASM770v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae	Chromobacterium	violaceum	ATCC 12472																Chromobacterium violaceum 1			Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-17	GCA_000007625.1	GCF_000007625.1		ASM762v1		Motile	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	tetani	E88																Clostridium tetani			Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-17	GCA_000012325.1	GCF_000012325.1		ASM1232v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Colwellia	psychrerythraea	34H																Colwellia psychrerythraea		non-enteric Gamma	Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-17	GCA_000168855.1	GCF_000168855.1		ASM16885v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Comamonas	testosteroni	KF-1																Comamonas testosteroni		Beta	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-17	GCA_000069785.1	GCF_000069785.1		ASM6978v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	taiwanensis																	Cupriavidus taiwanensis		Beta	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-17	GCA_000005845.2	GCF_000005845.2		ASM584v2		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	coli		Purple bacteria and relatives	duplicate of U00096.3?														Escherichia coli 042 1			Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-19	GCA_000009785.1	GCF_000009785.1		ASM978v1		Motile	Bacillota	Bacilli	Bacillales	Bacillaceae	Geobacillus	kaustophilus	HTA426																Geobacillus kaustophilus strain HTA426		H+	powerSource
	NJM_2023-07-19	GCA_000020725.1	GCF_000020725.1		ASM2072v1		Motile	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Citrifermentans	bemidjiense	Bem		formerly Geobacter bemidjiensis														Geobacter bemidjiensis		Delta	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000315015.1	GCF_000315015.1		ASM31501v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Paraglaciecola	mesophila	KMM 241		formerly Glaciecola mesophila														Glaciecola mesophila		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000428905.1	GCF_000428905.1		ASM42890v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Glaciecola	pallidula	DSM 14239 = ACAM 615																Glaciecola pallidula		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000315075.1	GCF_000315075.1		ASM31507v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Paraglaciecola	psychrophila	170		formerly Glaciecola psychrophila														Glaciecola psychrophila		Gamma	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000226565.1	GCF_000226565.1		ASM22656v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Glaciecola	nitratireducens	FR1064																Glaciecola_nitratireducens			Ferreira_Beeby_2021_Fig1BC
	NJM_2023-07-19	GCA_000583855.1	GCF_000583855.1		ASM58385v1		Motile	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter	oxydans	DSM 3504																Gluconobacter oxydans		Alpha1	Liu_Ochman_2007b_FigS2_2eqSecondary
	NJM_2023-07-19	GCA_000020485.1	GCF_000020485.1		ASM2048v1		Motile	Firmicutes	Halanaerobiia	Halanaerobiales	Halothermotrichaceae	Halothermothrix	orenii	H 168																Halothermothrix orenii		Others	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000007905.1	GCF_000007905.1		ASM790v1		Motile	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	hepaticus	3B1, ATCC 51449																Helicobacter hepaticus		Epsilon	Ferreira_Beeby_2021_Fig1A
	NJM_2023-07-19	GCA_000307795.1	GCF_000307795.1		ASM30779v1		Motile	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	pylori	ATCC 700392																Helicobacter pylori strain ATCC 700392		H+	powerSource
