	i	protID	spname	symM3	symM2	symM1	sym0	sym1	sym2	sym3	strandM3	strandM2	strandM1	strand0	strand1	strand2	strand3	accM3	accM2	accM1	acc0	acc1	acc2	acc3	nameM3	nameM2	nameM1	name0	name1	name2	name3	genome_dir	gene_order_table_fn
194	259	ATU63282.1	Rhizobacter gummiphilus								+	-	+	+	+	+	+	ATU63279.1	ATU63280.1	ATU63281.1	ATU63282.1	ATU63283.1	ATU63284.1	ATU63285.1	alanine transaminase	phage holin family protein	biopolymer transporter	biopolymer transporter ExbB	biopolymer transporter ExbD	hemin uptake protein HemP	DUF2325 domain-containing protein	GCA_002762215.1_ASM276221v1	genomes/GCA_002762215.1_ASM276221v1/GCA_002762215.1_ASM276221v1_feature_table.txt
195	260	SNW07143.1	Eikenella corrodens				tolQ	exbD	ileS		+	+	+	+	+	+	+	SNW07134.1	SNW07136.1	SNW07139.1	SNW07143.1	SNW07145.1	SNW07148.1	SNW07151.1	Uncharacterised protein	Uncharacterised protein	Ribonucleases G and E	biopolymer transport protein ExbB	Biopolymer transport protein exbD	Isoleucine--tRNA ligase	Uncharacterised protein	GCA_900187105.1_50618_F01	genomes/GCA_900187105.1_50618_F01/GCA_900187105.1_50618_F01_feature_table.txt
196	261	UBQ06174.1	Tepidimonas taiwanensis								-	-	-	-	-	-	-	UBQ06177.1	UBQ06176.1	UBQ06175.1	UBQ06174.1	UBQ06173.1	UBQ06172.1	UBQ06171.1	Fe2+-dependent dioxygenase	alpha-hydroxy-acid oxidizing protein	energy transducer TonB	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	Bax inhibitor-1 family protein	hypothetical protein	GCA_020162115.1_ASM2016211v1	genomes/GCA_020162115.1_ASM2016211v1/GCA_020162115.1_ASM2016211v1_feature_table.txt
197	262	APW42557.1	Rhodoferax saidenbachensis								-	-	-	-	-	-	+	APW42560.1	APW42559.1	APW42558.1	APW42557.1	APW42556.1	APW42555.1	APW42554.1	TonB-dependent siderophore receptor	PKHD-type hydroxylase	energy transducer TonB	biopolymer transporter	biopolymer transporter ExbD	hypothetical protein	hypothetical protein	GCA_001955715.1_ASM195571v1	genomes/GCA_001955715.1_ASM195571v1/GCA_001955715.1_ASM195571v1_feature_table.txt
198	263	ATU67891.1	Rhizobacter gummiphilus								-	+	+	+	+	-	+	ATU68754.1	ATU67889.1	ATU67890.1	ATU67891.1	ATU67892.1		ATU67893.1	ferric iron uptake transcriptional regulator	outer membrane protein assembly factor BamE	4-hydroxy-tetrahydrodipicolinate reductase	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	hypothetical protein	hypothetical protein	GCA_002762215.1_ASM276221v1	genomes/GCA_002762215.1_ASM276221v1/GCA_002762215.1_ASM276221v1_feature_table.txt
199	264	APW44370.1	Rhodoferax saidenbachensis								+	-	-	-	-	-	-	APW44373.1	APW44372.1	APW44371.1	APW44370.1	APW44369.1	APW44368.1	APW44367.1	transcriptional repressor	outer membrane protein assembly factor BamE	4-hydroxy-tetrahydrodipicolinate reductase	flagellar motor protein MotA	biopolymer transporter ExbD	leucine--tRNA ligase	hypothetical protein	GCA_001955715.1_ASM195571v1	genomes/GCA_001955715.1_ASM195571v1/GCA_001955715.1_ASM195571v1_feature_table.txt
200	266	AFE08686.1	Corallococcus coralloides DSM 2259	lpdA1		tonB2	exbB1	tolR1	exbD4	fecA	+	+	+	+	+	+	+	AFE09248.1	AFE07731.1	AFE10521.1	AFE08686.1	AFE10518.1	AFE08691.1	AFE08770.1	pyridine nucleotide-disulfide oxidoreductase dimerization subunit	hypothetical protein	"ferric siderophore transporter, periplasmic energy transduction protein TonB"	TonB system transport protein ExbB/TolQ	biopolymer ExbD/TolR family transporter	ExbD/TolR family TonB system transport protein	TonB-dependent receptor	GCA_000255295.1_ASM25529v1	genomes/GCA_000255295.1_ASM25529v1/GCA_000255295.1_ASM25529v1_feature_table.txt
201	268	QJR34785.1	Gemmatimonas groenlandica								+	+	+	+	+	+	+	QJR34782.1	QJR34783.1	QJR34784.1	QJR34785.1	QJR34786.1	QJR34787.1	QJR34788.1	response regulator transcription factor	HAMP domain-containing protein	energy transducer TonB	flagellar motor protein MotA	hypothetical protein	biopolymer transporter ExbD	hypothetical protein	GCA_013004105.1_ASM1300410v1	genomes/GCA_013004105.1_ASM1300410v1/GCA_013004105.1_ASM1300410v1_feature_table.txt
202	269	BAH39052.1	Gemmatimonas aurantiaca T-27			tonB					-	-	-	-	-	-	-	BAH39055.1	BAH39054.1	BAH39053.1	BAH39052.1	BAH39051.1	BAH39050.1	BAH39049.1	OmpR family two-component response regulator	two-component histidine kinase	putative TonB protein	putative biopolymer transport protein	putative biopolymer transport protein	putative biopolymer transport protein	hypothetical protein	GCA_000010305.1_ASM1030v1	genomes/GCA_000010305.1_ASM1030v1/GCA_000010305.1_ASM1030v1_feature_table.txt
203	270	QUV79767.1	Chloracidobacterium thermophilum	secD	secF						+	+	+	+	+	+	+	QUV78829.1	QUV78830.1	QUV78831.1	QUV79767.1	QUV78832.1	QUV78833.1	QUV78834.1	protein translocase subunit SecD	protein translocase subunit SecF	energy transducer TonB	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	biopolymer transporter ExbD	hypothetical protein	GCA_018304665.1_ASM1830466v1	genomes/GCA_018304665.1_ASM1830466v1/GCA_018304665.1_ASM1830466v1_feature_table.txt
204	271	QOY88067.1	Paludibaculum fermentans	secD	secF						+	+	+	+	+	+	+	QOY88064.1	QOY88065.1	QOY88066.1	QOY88067.1	QOY88068.1	QOY88069.1	QOY88070.1	protein translocase subunit SecD	protein translocase subunit SecF	TonB family protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	biopolymer transporter ExbD	hypothetical protein	GCA_015277775.1_ASM1527777v1	genomes/GCA_015277775.1_ASM1527777v1/GCA_015277775.1_ASM1527777v1_feature_table.txt
205	272	AFL86415.1	Terriglobus roseus DSM 18391	NA	NA	NA	NA	NA	NA	NA	+	+	+	+	+	+	+	AFL86412.1	AFL86413.1	AFL86414.1	AFL86415.1	AFL86416.1	AFL86417.1	AFL86418.1	"amidohydrolase, imidazolonepropionase"	hypothetical protein	TonB family protein	biopolymer transport protein	biopolymer transport protein	biopolymer transport protein	tetratricopeptide repeat protein	GCA_000265425.1_ASM26542v1	genomes/GCA_000265425.1_ASM26542v1/GCA_000265425.1_ASM26542v1_feature_table.txt
206	274	ACL63649.1	Anaeromyxobacter dehalogenans 2CP-1								+	+	-	-	-	-	+	ACL63652.1	ACL63651.1	ACL63650.1	ACL63649.1	ACL63648.1	ACL63647.1	ACL63646.1	conserved hypothetical protein	conserved hypothetical protein	conserved hypothetical protein	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	Biopolymer transport protein ExbD/TolR	"pseudouridine synthase, RluA family"	GCA_000022145.1_ASM2214v1	genomes/GCA_000022145.1_ASM2214v1/GCA_000022145.1_ASM2214v1_feature_table.txt
207	276	ADO70054.1	Stigmatella aurantiaca DW4/3-1				tolQ	tolR			+	+	-	-	-	-	+	ADO70057.1	ADO70056.1	ADO70055.1	ADO70054.1	ADO70053.1	ADO70052.1	ADO70051.1	Oar protein	uncharacterized protein	TonB protein	TolQ protein	"Biopolymer transport protein, ExbD/TolR family"	"Biopolymer transport protein, ExbD/TolR family"	conserved uncharacterized protein	GCA_000165485.1_ASM16548v1	genomes/GCA_000165485.1_ASM16548v1/GCA_000165485.1_ASM16548v1_feature_table.txt
208	277	AFE10515.1	Corallococcus coralloides DSM 2259	mlpA1	oar2	tonB1	tolQ	exbD1	exbD2	yifB	+	+	-	-	-	-	-	AFE09429.1	AFE09679.1	AFE10520.1	AFE10515.1	AFE08688.1	AFE08689.1	AFE11026.1	putative lipoprotein	TonB-dependent receptor	putative TonB protein	MotA/TolQ/ExbB proton channel family protein	biopolymer ExbD/TolR family transporter	biopolymer ExbD/TolR family transporter	"Mg-chelatase subunits D/I family, ComM subfamily protein"	GCA_000255295.1_ASM25529v1	genomes/GCA_000255295.1_ASM25529v1/GCA_000255295.1_ASM25529v1_feature_table.txt
209	279	QQS07765.1	Fibrobacteres bacterium								-	-	-	-	-	-	-	QQS05143.1	QQS05142.1	QQS05141.1	QQS07765.1	QQS05140.1	QQS05139.1	QQS05138.1	RDD family protein	acetate uptake transporter	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	tetratricopeptide repeat protein	GCA_016699655.1_ASM1669965v1	genomes/GCA_016699655.1_ASM1669965v1/GCA_016699655.1_ASM1669965v1_feature_table.txt
210	280	QQS07012.1	Fibrobacteres bacterium								+	+	+	+	+	+	-	QQS07009.1	QQS07010.1	QQS07011.1	QQS07012.1	QQS07013.1	QQS07014.1	QQS07015.1	energy transducer TonB	TonB-dependent receptor plug domain-containing protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	NERD domain-containing protein/DEAD/DEAH box helicase	GCA_016699655.1_ASM1669965v1	genomes/GCA_016699655.1_ASM1669965v1/GCA_016699655.1_ASM1669965v1_feature_table.txt
211	281	QQS07007.1	Fibrobacteres bacterium								-	+	+	+	+	+	+	QQS07004.1	QQS07005.1	QQS07006.1	QQS07007.1	QQS07008.1	QQS07009.1	QQS07010.1	hypothetical protein	TonB-dependent receptor plug domain-containing protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	TonB-dependent receptor plug domain-containing protein	GCA_016699655.1_ASM1669965v1	genomes/GCA_016699655.1_ASM1669965v1/GCA_016699655.1_ASM1669965v1_feature_table.txt
212	283	ADO73220.1	Stigmatella aurantiaca DW4/3-1								-	-	-	+	+	-	+	ADO73217.1	ADO73218.1	ADO73219.1	ADO73220.1	ADO73221.1	ADO73222.1	ADO73223.1	"General secretion pathway protein E, N-terminal domain protein"	"General secretion pathway protein E, N-terminal domain protein"	conserved uncharacterized protein	MotA/TolQ/ExbB proton channel family protein	"Biopolymer transport protein, ExbD/TolR family"	Magnesium transporter	Sensor protein	GCA_000165485.1_ASM16548v1	genomes/GCA_000165485.1_ASM16548v1/GCA_000165485.1_ASM16548v1_feature_table.txt
213	284	AFE10516.1	Corallococcus coralloides DSM 2259		nfrB2		tolQ1	exbD3	aidB2		-	-	-	+	+	-	-	AFE06068.1	AFE09591.1	AFE06069.1	AFE10516.1	AFE08690.1	AFE08017.1	AFE06070.1	general secretion pathway protein E	general secretion pathway protein E	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer ExbD/TolR family transporter	acyl-CoA dehydrogenase	MaoC domain-containing protein	GCA_000255295.1_ASM25529v1	genomes/GCA_000255295.1_ASM25529v1/GCA_000255295.1_ASM25529v1_feature_table.txt
214	285	ABF91342.1	Myxococcus xanthus DK 1622								-	-	-	+	+	-	-	ABF89796.1	ABF91352.1	ABF88093.1	ABF91342.1	ABF88650.1	ABF85990.1	ABF87604.1	"general secretion pathway protein E, N-terminal domain protein"	"general secretion pathway protein E, N-terminal domain protein"	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	"biopolymer transport protein, ExbD/TolR family"	acyl-CoA dehydrogenase	MaoC domain protein	GCA_000012685.1_ASM1268v1	genomes/GCA_000012685.1_ASM1268v1/GCA_000012685.1_ASM1268v1_feature_table.txt
215	287	CAL34348.1	Campylobacter jejuni subsp. jejuni NCTC 11168 				exbB1	exbD1	tonB1		-	+	+	+	+	+	+	CAL34345.1	CAL34346.1	CAL34347.1	CAL34348.1	CAL34349.1	CAL34350.1	CAL34351.1	putative lipoprotein	putative iron transport protein	putative TonB-denpendent outer membrane receptor	biopolymer transport protein	biopolymer transport protein	TonB transport protein	putative transmembrane transport protein	GCA_000009085.1_ASM908v1	genomes/GCA_000009085.1_ASM908v1/GCA_000009085.1_ASM908v1_feature_table.txt
216	288	UPT72618.1	Elusimicrobia bacterium								-	-	-	+	+	+	+	UPT72615.1	UPT72616.1	UPT72617.1	UPT72618.1	UPT72619.1	UPT72620.1	UPT72621.1	helix-turn-helix transcriptional regulator	type II toxin-antitoxin system RelE/ParE family toxin	zinc-binding dehydrogenase	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	TonB C-terminal domain-containing protein	hypothetical protein	GCA_023213235.1_ASM2321323v1	genomes/GCA_023213235.1_ASM2321323v1/GCA_023213235.1_ASM2321323v1_feature_table.txt
217	289	SLM46359.1	Nitrospira japonica	xerD			tolQ	exbD			-	-	-	-	-	-	-	SLM46360.1			SLM46359.1	SLM46358.1	SLM46357.1	SLM46356.1	Tyrosine recombinase XerD	tRNA-Val	tRNA-Asp	Protein TolQ	Biopolymer transport protein ExbD	conserved protein of unknown function	"TolB protein, periplasmic protein involved in the tonb-independent uptake of group A colicins"	GCA_900169565.1_NSJP_Ch1	genomes/GCA_900169565.1_NSJP_Ch1/GCA_900169565.1_NSJP_Ch1_feature_table.txt
218	291	EKT87439.2	Leptospira santarosai serovar Shermani str. LT 821								-	-	-	-	-	-	-	EKT87436.1	EKT87437.1	EKT87438.1	EKT87439.2	EKT87440.1	EKT87441.1	EKT87442.2	hypothetical protein	TonB-dependent receptor	hypothetical protein	TolQ transporter	biopolymer transporter ExbD	cell envelope biogenesis protein TonB	hypothetical protein	GCA_000313175.2_ASM31317v2	genomes/GCA_000313175.2_ASM31317v2/GCA_000313175.2_ASM31317v2_feature_table.txt
219	292	UPT74212.1	Elusimicrobia bacterium								+	+	+	+	+	+	+	UPT74209.1	UPT74210.1	UPT74211.1	UPT74212.1	UPT74213.1	UPT74214.1	UPT74215.1	hypothetical protein	HEAT repeat domain-containing protein	HEAT repeat domain-containing protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	TonB family protein	GNAT family N-acetyltransferase	GCA_023213235.1_ASM2321323v1	genomes/GCA_023213235.1_ASM2321323v1/GCA_023213235.1_ASM2321323v1_feature_table.txt
220	293	UPT75425.1	Elusimicrobia bacterium								+	+	-	-	-	-	-	UPT75428.1	UPT75427.1	UPT75426.1	UPT75425.1	UPT75424.1	UPT75423.1	UPT75422.1	efflux RND transporter periplasmic adaptor subunit	TolC family protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	hypothetical protein	energy transducer TonB	GCA_023213235.1_ASM2321323v1	genomes/GCA_023213235.1_ASM2321323v1/GCA_023213235.1_ASM2321323v1_feature_table.txt
221	297	AOO66426.1	Sulfurospirillum halorespirans DSM 13726								+	+	+	-	-	-	-	AOO66429.1	AOO66428.1	AOO66427.1	AOO66426.1	AOO66425.1	AOO66424.1	AOO66423.1	TonB-dependent receptor	globin-like superfamily protein	ModE-like regulatory protein	TolQ proton channel family protein	TolR-like protein	TonB-like protein	globin-like superfamily protein	GCA_001723605.1_ASM172360v1	genomes/GCA_001723605.1_ASM172360v1/GCA_001723605.1_ASM172360v1_feature_table.txt
222	298	AFE08685.1	Corallococcus coralloides DSM 2259			yghZ	exbB	exbD	tonB	mprA1	+	+	+	+	+	+	-	AFE07318.1	AFE07319.1	AFE10962.1	AFE08685.1	AFE08687.1	AFE10519.1	AFE09475.1	hypothetical protein	hypothetical protein	aldo/keto reductase family oxidoreductase	MotA/TolQ/ExbB proton channel family protein	ExbD/TolR family transport energizing protein	"ferric siderophore transporter, periplasmic energy transduction protein TonB"	MarR family transcriptional regulator	GCA_000255295.1_ASM25529v1	genomes/GCA_000255295.1_ASM25529v1/GCA_000255295.1_ASM25529v1_feature_table.txt
223	299	ADO75002.1	Stigmatella aurantiaca DW4/3-1						tonB		-	-	-	+	+	+	-	ADO74999.1	ADO75000.1	ADO75001.1	ADO75002.1	ADO75003.1	ADO75004.1	ADO75005.1	conserved uncharacterized protein	"ATPase, AAA family"	conserved uncharacterized protein	MotA/TolQ/ExbB proton channel family protein	"Transport energizing protein, ExbD/TolR family"	"Ferric siderophore transporter, periplasmic energy transduction protein TonB"	"Transcriptional regulator, MarR family"	GCA_000165485.1_ASM16548v1	genomes/GCA_000165485.1_ASM16548v1/GCA_000165485.1_ASM16548v1_feature_table.txt
224	300	ADO76074.1	Stigmatella aurantiaca DW4/3-1								-	-	-	-	-	-	-	ADO76077.1	ADO76076.1	ADO76075.1	ADO76074.1	ADO76073.1	ADO76072.1	ADO76071.1	"ABC transporter, permease protein"	"ABC transporter, inner membrane protein"	conserved uncharacterized protein	MotA/TolQ/ExbB proton channel family protein	"Transport energizing protein, ExbD/TolR family"	"Ferric siderophore transporter, periplasmic energy transduction protein TonB"	TonB family protein	GCA_000165485.1_ASM16548v1	genomes/GCA_000165485.1_ASM16548v1/GCA_000165485.1_ASM16548v1_feature_table.txt
225	302	ABF85904.1	Myxococcus xanthus DK 1622						tonB		-	+	-	+	+	+	+	ABF92520.1	ABF89782.1	ABF91834.1	ABF85904.1	ABF91474.1	ABF85933.1	ABF89354.1	putative lipoprotein	hypothetical protein	"oxidoreductase, short chain dehydrogenase/reductase family"	MotA/TolQ/ExbB proton channel family protein	"transport energizing protein, ExbD/TolR family"	"ferric siderophore transporter, periplasmic energy transduction protein TonB"	tonB family protein	GCA_000012685.1_ASM1268v1	genomes/GCA_000012685.1_ASM1268v1/GCA_000012685.1_ASM1268v1_feature_table.txt
226	304	AWI09757.1	Ereboglobus luteus		nusB				der		+	+	+	-	-	-	-	AWI09760.1	AWI09759.1	AWI09758.1	AWI09757.1	AWI09756.1	AWI09755.1	AWI10655.1	signal recognition particle-docking protein FtsY	transcription antitermination factor NusB	"6,7-dimethyl-8-ribityllumazine synthase"	flagellar motor protein MotA	biopolymer transporter ExbD	ribosome biogenesis GTPase Der	methionyl-tRNA formyltransferase	GCA_003096195.1_ASM309619v1	genomes/GCA_003096195.1_ASM309619v1/GCA_003096195.1_ASM309619v1_feature_table.txt
227	305	ATC65746.1	Nibricoccus aquaticus								+	+	+	-	-	-	+	ATC65749.1	ATC65748.1	ATC65747.1	ATC65746.1	ATC65745.1	ATC65744.1		DNA polymerase III subunit gamma/tau	dTMP kinase	sugar kinase	flagellar motor protein MotA	biopolymer transporter ExbD	hypothetical protein	tRNA-Ala	GCA_002310495.1_ASM231049v1	genomes/GCA_002310495.1_ASM231049v1/GCA_002310495.1_ASM231049v1_feature_table.txt
228	307	AKJ63346.1	Kiritimatiella glycovorans	rsmE_1			exbB_1	exbD_1		nusA	+	+	-	+	+	+	+	AKJ63343.1	AKJ63344.1	AKJ63345.1	AKJ63346.1	AKJ63347.1	AKJ63348.1	AKJ63349.1	Ribosomal RNA small subunit methyltransferase E	hypothetical protein	hypothetical protein	Biopolymer transport protein ExbB	Biopolymer transport protein ExbD	transport protein TonB	putative transcription termination/antitermination protein NusA	GCA_001017655.1_ASM101765v1	genomes/GCA_001017655.1_ASM101765v1/GCA_001017655.1_ASM101765v1_feature_table.txt
229	308	ALA61164.1	Nitrospira moscoviensis								+	-	-	-	-	-	-	ALA61167.1	ALA61166.1	ALA61165.1	ALA61164.1	ALA61163.1	ALA61162.1	ALA61161.1	exported protein of unknown function	conserved exported protein of unknown function	hypothetical protein	MotA/TolQ/ExbB proton channel	hypothetical protein	hypothetical protein	hypothetical protein	GCA_001273775.1_ASM127377v1	genomes/GCA_001273775.1_ASM127377v1/GCA_001273775.1_ASM127377v1_feature_table.txt
230	309	QSR84055.1	Methylacidimicrobium sp. B4								-	-	-	+	+	+	+	QSR84052.1	QSR84053.1	QSR84054.1	QSR84055.1	QSR84056.1	QSR84057.1	QSR84058.1	NUDIX domain-containing protein	CHASE2 domain-containing protein	J domain-containing protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	TonB C-terminal domain-containing protein	PD40 domain-containing protein	GCA_017310545.1_ASM1731054v1	genomes/GCA_017310545.1_ASM1731054v1/GCA_017310545.1_ASM1731054v1_feature_table.txt
231	310	ALJ56928.1	Candidatus Xiphinematobacter sp. Idaho Grape	infC	thrS		exbB	exbD			+	+	+	-	-	+	-	ALJ56931.1	ALJ56930.1	ALJ56929.1	ALJ56928.1	ALJ56927.1	ALJ56926.1		Translation initiation factor IF-3	Threonine--tRNA ligase	hypothetical protein	Biopolymer transport protein ExbB	Biopolymer transport protein ExbD	Putative NAD(P)H nitroreductase	tRNA-His	GCA_001318295.1_ASM131829v1	genomes/GCA_001318295.1_ASM131829v1/GCA_001318295.1_ASM131829v1_feature_table.txt
232	311	BDB95989.1	Candidatus Hydrogenosomobacter endosymbioticus			ruvC		tolR			+	-	-	+	+	+	+	BDB95987.1		BDB95988.1	BDB95989.1	BDB95990.1	BDB95991.1		hypothetical protein	tRNA-His	crossover junction endodeoxyribonuclease RuvC	hypothetical protein	protein TolR	hypothetical protein	tRNA-Val	GCA_021654655.1_ASM2165465v1	genomes/GCA_021654655.1_ASM2165465v1/GCA_021654655.1_ASM2165465v1_feature_table.txt
233	312	CCB87689.1	Parachlamydia acanthamoebae UV-7		yabD					tolB	+	-	-	+	+	+	+	CCB87686.1	CCB87687.1	CCB87688.1	CCB87689.1	CCB87690.1	CCB87691.1	CCB87692.1	putative uncharacterized protein	uncharacterized deoxyribonuclease yabD	putative uncharacterized protein	putative uncharacterized protein	putative uncharacterized protein	putative uncharacterized protein	protein tolB	GCA_000253035.1_ASM25303v1	genomes/GCA_000253035.1_ASM25303v1/GCA_000253035.1_ASM25303v1_feature_table.txt
234	313	AKL98121.1	Endomicrobium proavitum		tonB	tolB	tolQ	tolR			-	-	-	-	-	-	-	AKL98124.1	AKL98123.1	AKL98122.1	AKL98121.1	AKL98120.1	AKL98119.1	AKL98118.1	putative lipoprotein	TonB family protein	putative Protein TolB	"putative Transporter, MotA/TolQ/ExbB proton channel family protein"	putative Protein TolR	membrane protein of unknown function	"putative transcriptional regulator, Crp/Fnr family"	GCA_001027545.1_ASM102754v1	genomes/GCA_001027545.1_ASM102754v1/GCA_001027545.1_ASM102754v1_feature_table.txt
235	314	QJR34845.1	Gemmatimonas groenlandica								+	+	+	+	+	+	+	QJR34842.1	QJR34843.1	QJR34844.1	QJR34845.1	QJR34846.1	QJR34847.1	QJR34848.1	single-stranded DNA-binding protein	LysM peptidoglycan-binding domain-containing protein	NAD-dependent epimerase/dehydratase family protein	hypothetical protein	biopolymer transporter ExbD	cell envelope integrity protein TolA	hypothetical protein	GCA_013004105.1_ASM1300410v1	genomes/GCA_013004105.1_ASM1300410v1/GCA_013004105.1_ASM1300410v1_feature_table.txt
236	315	BAH38987.1	Gemmatimonas aurantiaca T-27	ssb							-	-	-	-	-	-	-	BAH38990.1	BAH38989.1	BAH38988.1	BAH38987.1	BAH38986.1	BAH38985.1	BAH38984.1	single-strand binding protein	hypothetical protein	nucleoside-diphosphate-sugar epimerase	putative biopolymer transport protein	putative biopolymer transport protein	hypothetical protein	hypothetical protein	GCA_000010305.1_ASM1030v1	genomes/GCA_000010305.1_ASM1030v1/GCA_000010305.1_ASM1030v1_feature_table.txt
237	316	AMW06740.1	Gemmatimonas phototrophica								-	-	-	-	-	-	-	AMW06741.1	AMW05086.1	AMW05085.1	AMW06740.1	AMW05084.1	AMW05083.1	AMW05082.1	hypothetical protein	hypothetical protein	UDP-glucose 4-epimerase	hypothetical protein	hypothetical protein	hypothetical protein	hypothetical protein	GCA_000695095.2_ASM69509v2	genomes/GCA_000695095.2_ASM69509v2/GCA_000695095.2_ASM69509v2_feature_table.txt
238	317	QQS05379.1	Fibrobacteres bacterium	dnaJ							+	+	-	+	+	+	+	QQS05376.1	QQS05377.1	QQS05378.1	QQS05379.1	QQS05380.1	QQS05381.1	QQS05382.1	molecular chaperone DnaJ	sigma-54-dependent Fis family transcriptional regulator	sugar-binding protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	TonB family protein	PD40 domain-containing protein	GCA_016699655.1_ASM1669965v1	genomes/GCA_016699655.1_ASM1669965v1/GCA_016699655.1_ASM1669965v1_feature_table.txt
239	318	ACX73814.1	Fibrobacter succinogenes subsp. succinogenes S85								+	-	+	-	-	-	-	ACX73817.1	ACX73816.1	ACX73815.1	ACX73814.1	ACX73813.1	ACX73812.1	ACX73811.1	Deoxyribonuclease I	FolC bifunctional protein	hypothetical protein	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	hypothetical protein	TolB domain protein	GCA_000024665.1_ASM2466v1	genomes/GCA_000024665.1_ASM2466v1/GCA_000024665.1_ASM2466v1_feature_table.txt
240	319	CAL35725.1	Campylobacter jejuni subsp. jejuni NCTC 11168 	sdaC			exbB2	exbD2	tonB2		-	-	-	+	+	+	-	CAL35722.1	CAL35723.1	CAL35724.1	CAL35725.1	CAL35726.1	CAL35727.1	CAL35728.1	amino acid transporter	putative periplasmic protein	hypothetical protein Cj1627c	putative exbB/tolQ family transport protein	putative exbD/tolR family transport protein	putative TonB transport protein	conserved hypothetical protein Cj1631c	GCA_000009085.1_ASM908v1	genomes/GCA_000009085.1_ASM908v1/GCA_000009085.1_ASM908v1_feature_table.txt
241	320	ALF47140.1	Campylobacter concisus	polA		waaF	exbB	exbD	tonB		-	+	+	+	+	+	+	ALF47137.1	ALF47138.1	ALF47139.1	ALF47140.1	ALF47141.1	ALF47142.1		"DNA polymerase I, 5' --> 3' polymerase, 5' --> 3' and 3' --> 5' exonuclease"	"glycosyltransferase, family 1"	heptosyltransferase II	TonB system transport protein ExbB	TonB system transport protein ExbD	energy transduction protein TonB	tRNA-Phe	GCA_001298465.1_ASM129846v1	genomes/GCA_001298465.1_ASM129846v1/GCA_001298465.1_ASM129846v1_feature_table.txt
242	321	ADN08701.1	Sulfurimonas autotrophica DSM 16294	NA	NA	NA	NA	NA	NA	NA	+	+	+	+	+	-	-	ADN08698.1	ADN08699.1	ADN08700.1	ADN08701.1	ADN08702.1	ADN08703.1	ADN08704.1	dihydroorotase	"two component transcriptional regulator, winged helix family"	integral membrane sensor signal transduction histidine kinase	outer membrane transport energization protein ExbB	TonB system transport protein ExbD	conserved hypothetical protein	conserved hypothetical protein	GCA_000147355.1_ASM14735v1	genomes/GCA_000147355.1_ASM14735v1/GCA_000147355.1_ASM14735v1_feature_table.txt
243	323	SLM48220.1	Nitrospira japonica			fur	exbB	exbD			+	-	-	-	-	+	+	SLM48223.1	SLM48222.1	SLM48221.1	SLM48220.1	SLM48219.1	SLM48218.1	SLM48217.1	conserved protein of unknown function	protein of unknown function	Ferric uptake regulation protein	Biopolymer transport protein ExbB	Biopolymer transport protein ExbD	putative Thiamine biosynthesis lipoprotein ApbE	protein of unknown function	GCA_900169565.1_NSJP_Ch1	genomes/GCA_900169565.1_NSJP_Ch1/GCA_900169565.1_NSJP_Ch1_feature_table.txt
244	324	ALA57346.1	Nitrospira moscoviensis			potA	exbB	exbD			-	-	-	-	-	-	-	ALA57349.1	ALA57348.1	ALA57347.1	ALA57346.1	ALA57345.1	ALA57344.1	ALA57343.1	"ABC transporter, periplasmic binding component, putative Fe3+ transport system"	"ABC transporter, permease component, putative Fe3+ transport system"	Spermidine/putrescine import ATP-binding protein PotA	Biopolymer transport protein exbB	Biopolymer transport protein exbD	putative TonB protein	conserved exported protein of unknown function	GCA_001273775.1_ASM127377v1	genomes/GCA_001273775.1_ASM127377v1/GCA_001273775.1_ASM127377v1_feature_table.txt
245	325	AAC07592.1	Aquifex aeolicus VF5	nlpD2		tyrA	exbB				-	-	+	+	-	-	-	AAC07590.1	AAC07602.1	AAC07589.1	AAC07592.1	AAC07603.1	AAC07600.1	AAC07610.1	lipoprotein NlpD fragment	hypothetical protein	prephenate dehydrogenase	biopolymer transport exbB	hypothetical protein	putative protein	putative protein	GCA_000008625.1_ASM862v1	genomes/GCA_000008625.1_ASM862v1/GCA_000008625.1_ASM862v1_feature_table.txt
