assembly	organism	refAccession	refStart	refEnd	refStrand	refDesc	senseMinusThreeAccession	senseMinusThreeStart	senseMinusThreeEnd	senseMinusThreeStrand	senseMinusThreeDesc	senseMinusTwoAccession	senseMinusTwoStart	senseMinusTwoEnd	senseMinusTwoStrand	senseMinusTwoDesc	senseMinusOneAccession	senseMinusOneStart	senseMinusOneEnd	senseMinusOneStrand	senseMinusOneDesc	sensePlusOneAccession	sensePlusOneStart	sensePlusOneEnd	sensePlusOneStrand	sensePlusOneDesc	sensePlusTwoAccession	sensePlusTwoStart	sensePlusTwoEnd	sensePlusTwoStrand	sensePlusTwoDesc	sensePlusThreeAccession	sensePlusThreeStart	sensePlusThreeEnd	sensePlusThreeStrand	sensePlusThreeDesc	antisenseMinusThreeAccession	antisenseMinusThreeStart	antisenseMinusThreeEnd	antisenseMinusThreeStrand	antisenseMinusThreeDesc	antisenseMinusTwoAccession	antisenseMinusTwoStart	antisenseMinusTwoEnd	antisenseMinusTwoStrand	antisenseMinusTwoDesc	antisenseMinusOneAccession	antisenseMinusOneStart	antisenseMinusOneEnd	antisenseMinusOneStrand	antisenseMinusOneDesc	antisensePlusOneAccession	antisensePlusOneStart	antisensePlusOneEnd	antisensePlusOneStrand	antisensePlusOneDesc	antisensePlusTwoAccession	antisensePlusTwoStart	antisensePlusTwoEnd	antisensePlusTwoStrand	antisensePlusTwoDesc	antisensePlusThreeAccession	antisensePlusThreeStart	antisensePlusThreeEnd	antisensePlusThreeStrand	antisensePlusThreeDesc
GCA_001484725.1_ASM148472v1	Clostridium autoethanogenum DSM 10061 (firmicutes)	ALU36624	2407880	2408674	+	Chemotaxis protein MotA	ALU36623	2407560	2407733	+	4Fe-4S ferredoxin iron-sulpur binding domain-containing protein	ALU36622	2407111	2407314	+	Heavy metal transport/detoxification protein	ALU36621	2406195	2407100	+	PSP1 domain protein	ALU36625	2408671	2409522	+	Motility protein B	ALU36626	2409697	2410449	+	Methyltransferase	ALU36627	2410456	2411295	+	Ribosomal RNA small subunit methyltransferase I	ALU36633	2417333	2417983	-	Phage shock protein A	ALU36632	2416671	2417324	-	Hypothetical protein	ALU36630	2414283	2414528	-	Transcriptional regulator AbrB family	ALU36615	2401183	2402124	-	Mg2 transporter protein CorA family protein	ALU36614	2400250	2401170	-	Peptidase U61 LD-carboxypeptidase A	ALU36612	2398209	2398934	-	Silent information regulator protein Sir2
GCA_001507665.1_ASM150766v1	Deinococcus actinosclerus (bacteria)	ALW88052	692276	692962	+	biopolymer transporter	ALW88046	686111	686527	+	pyridoxamine 5'-phosphate oxidase	ALW90265	685570	686031	+	cupin	ALW88042	680347	681438	+	glutamyl-tRNA reductase	ALW88053	693096	693539	+	biopolymer transporter	ALW88054	694226	695395	+	hypothetical protein	ALW88055	695412	696107	+	hypothetical protein	ALW90267	701319	701963	-	cyclase	ALW88058	700144	701322	-	glutathione-dependent formaldehyde dehydrogenase	ALW88056	696176	698092	-	acetyl-coenzyme A synthetase	ALW88051	691209	691964	-	Fe-S cluster assembly ATPase SufC	ALW88050	689172	690578	-	Fe-S cluster assembly protein SufB	ALW88049	688751	689107	-	hypothetical protein
GCA_001544015.1_ASM154401v1	Limnochorda pilosa (firmicutes)	BAS27507	1758614	1759423	+	flagellar motor protein MotP	BAS27506	1757245	1758468	+	fagellar hook-basal body protein	BAS27505	1756716	1757129	+	flagellar biosynthesis protein	BAS27504	1756265	1756711	+	flagellar hook capping protein	BAS27508	1759413	1760216	+	flagellar motor protein MotB	BAS27509	1760217	1760699	+	hypothetical protein	BAS27510	1760731	1761768	+	hypothetical protein	BAS27567	1818316	1818990	-	chemotaxis protein CheY	BAS27566	1817688	1818146	-	hypothetical protein	BAS27565	1816155	1817648	-	hypothetical protein	BAS27467	1721603	1722202	-	hypothetical protein	BAS27456	1712425	1713651	-	nucleoside recognition protein	BAS27448	1705357	1705548	-	50S ribosomal protein L28
GCA_001544015.1_ASM154401v1	Limnochorda pilosa (firmicutes)	BAS27557	1806329	1806943	+	MotA/TolQ/ExbB proton channel family protein	BAS27556	1805321	1805860	+	acetyltransferase	BAS27555	1804285	1805139	+	phosphotransferase	BAS27554	1803530	1804273	+	RNA polymerase sigma factor	BAS27558	1806944	1807345	+	biopolymer transporter ExbD	BAS27559	1807425	1808333	+	hypothetical protein	BAS27560	1808333	1810441	+	hypothetical protein	BAS27567	1818316	1818990	-	chemotaxis protein CheY	BAS27566	1817688	1818146	-	hypothetical protein	BAS27565	1816155	1817648	-	hypothetical protein	BAS27467	1721603	1722202	-	hypothetical protein	BAS27456	1712425	1713651	-	nucleoside recognition protein	BAS27448	1705357	1705548	-	50S ribosomal protein L28
GCA_001723605.1_ASM172360v1	Sulfurospirillum halorespirans DSM 13726 (e-proteobacteria)	AOO65115	1353950	1354723	-	flagellar motor rotation protein MotA	AOO65122	1363559	1364188	-	putative NAD(P)H nitroreductase	AOO65121	1362178	1363410	-	radical SAM protein	AOO65120	1361447	1362178	-	hypothetical protein	AOO65114	1353141	1353938	-	flagellar motor rotation protein MotB	AOO65113	1351190	1353022	-	"ABC transporter, ATP-binding protein"	AOO65112	1350853	1351155	-	hypothetical protein	AOO65111	1350109	1350849	+	"metal-dependent hydrolase of the beta-lactamase superfamily, PhnP-like"	AOO65110	1348996	1350099	+	methyl-accepting chemotaxis protein	AOO65109	1347680	1348750	+	HD/GGDEF regulatory protein	AOO65116	1354910	1355566	+	"transcriptional regulator, TetR family"	AOO65117	1355669	1356829	+	"RND efflux system, membrane fusion protein CmeA"	AOO65118	1356833	1359964	+	"RND efflux system, inner membrane transporter CmeB"
GCA_001874605.1_ASM187460v1	Moorella thermoacetica (firmicutes)	APC07539	347689	348516	-	chemotaxis protein PomA	APC07544	352210	354000	-	adenine deaminase	APC07543	350880	352085	-	imidazolonepropionase	APC07542	350782	350883	-	hypothetical protein	APC07538	346977	347726	-	motility protein B	APC07528	334631	335524	-	HTH-type transcriptional activator CmpR	APC07503	311900	312544	-	KHG/KDPG aldolase	APC07537	345648	346925	+	"glutamate 2,3-aminomutase"	APC07536	344791	345393	+	inner membrane protein YabI	APC07535	344030	344794	+	phosphatidylserine decarboxylase proenzyme	APC07540	348701	349924	+	N-isopropylammelide isopropyl amidohydrolase	APC07541	350001	350795	+	prolipoprotein diacylglyceryl transferase	APC07545	354303	355394	+	glycerol dehydrogenase
GCA_001874605.1_ASM187460v1	Moorella thermoacetica (firmicutes)	APC07901	736537	737337	+	chemotaxis protein PomA	APC07900	736306	736515	+	flagellar protein FlbD	APC07899	735193	736029	+	flagellar basal-body rod protein FlgG	APC07898	734656	735042	+	hypothetical protein	APC07902	737508	738278	+	motility protein B	APC07903	738268	738747	+	flagellar FliL protein	APC07904	738760	739134	+	flagellar motor switch protein FliN	APC07927	756968	757456	-	heat induced stress protein YflT	APC07926	756636	756815	-	"small, acid-soluble spore protein, alpha/beta type"	APC07919	751370	751933	-	TPR repeat-containing protein YrrB	APC07882	720570	721139	-	hypothetical protein	APC07868	706977	707087	-	hypothetical protein	APC07859	697421	697579	-	hypothetical protein
GCA_001874605.1_ASM187460v1	Moorella thermoacetica (firmicutes)	APC08935	1745035	1745796	+	chemotaxis protein PomA	APC08932	1741891	1742703	+	modification methylase DpnIIA	APC08920	1725782	1726102	+	transposase IS66 family protein	APC08917	1723793	1724218	+	NADH oxidase	APC08936	1745836	1746570	+	motility protein B	APC08937	1746698	1748881	+	"2-hydroxyglutaryl-CoA dehydratase, D-component"	APC08938	1748859	1749878	+	R-phenyllactate dehydratase activator	APC08941	1752584	1752775	-	hypothetical protein	APC08940	1750819	1751979	-	tRNA pseudouridine synthase D	APC08939	1750041	1750772	-	ribosomal large subunit pseudouridine synthase B	APC08934	1744140	1744835	-	hypothetical protein	APC08933	1742772	1743854	-	6-phosphofructokinase 1	APC08931	1741117	1741371	-	hypothetical protein
GCA_001955715.1_ASM195571v1	Rhodoferax saidenbachensis (b-proteobacteria)	APW42522	1720960	1721586	-	flagellar motor protein MotA	APW42530	1732956	1733498	-	Phasin (PHA-granule associated protein)	APW42528	1731237	1731725	-	hypothetical protein	APW42525	1726380	1726880	-	hypothetical protein	APW42521	1720504	1720932	-	biopolymer transporter ExbD	APW42520	1719450	1720499	-	tetraacyldisaccharide 4'-kinase	APW42519	1719287	1719469	-	tetraacyldisaccharide 4'-kinase	APW42516	1716942	1717631	+	hypothetical protein	APW42515	1715646	1716623	+	L-asparaginase	APW42512	1713904	1714419	+	hypothetical protein	APW44761	1721862	1723178	+	exodeoxyribonuclease VII large subunit	APW42523	1723223	1723804	+	superoxide dismutase	APW42524	1724049	1726286	+	"isocitrate dehydrogenase, NADP-dependent"
GCA_001955715.1_ASM195571v1	Rhodoferax saidenbachensis (b-proteobacteria)	APW42557	1766083	1766799	-	biopolymer transporter	APW42560	1768286	1770553	-	TonB-dependent siderophore receptor	APW42559	1767576	1768259	-	PKHD-type hydroxylase	APW42558	1766828	1767502	-	energy transducer TonB	APW42556	1765645	1766067	-	biopolymer transporter ExbD	APW42555	1765437	1765640	-	hypothetical protein	APW42553	1764075	1764770	-	BAX inhibitor protein	APW42554	1764967	1765374	+	hypothetical protein	APW42551	1762087	1763559	+	23S rRNA (uracil(1939)-C(5))-methyltransferase	APW44765	1761102	1762004	+	RNA polymerase sigma factor RpoS	APW42569	1780984	1782255	+	DUF2325 domain-containing protein	APW42570	1782437	1784629	+	hypothetical protein	APW42571	1784759	1788751	+	cobaltochelatase subunit CobN
GCA_001955715.1_ASM195571v1	Rhodoferax saidenbachensis (b-proteobacteria)	APW42908	2185606	2186463	-	flagellar motor stator protein MotA	APW42911	2190342	2193467	-	cation transporter	APW44804	2187481	2189787	-	hypothetical protein	APW42909	2187127	2187429	-	hypothetical protein	APW44802	2178531	2178977	-	MerR family transcriptional regulator	APW42896	2177153	2177443	-	transcriptional regulator	APW42895	2176119	2176415	-	hypothetical protein	APW42907	2184857	2185297	+	hypothetical protein	APW42906	2184431	2184817	+	hypothetical protein	APW42905	2183059	2184351	+	hypothetical protein	APW42910	2189862	2190293	+	Cd(II)/Pb(II)-responsive transcriptional regulator	APW42915	2196903	2197385	+	hypothetical protein	APW42916	2197425	2197748	+	transcriptional regulator
GCA_001955715.1_ASM195571v1	Rhodoferax saidenbachensis (b-proteobacteria)	APW43194	2532129	2532986	-	flagellar motor stator protein MotA	APW43198	2535791	2536657	-	alpha/beta hydrolase	APW43197	2535460	2535798	-	hypothetical protein	APW43196	2533601	2535367	-	arylsulfatase	APW43192	2530295	2530888	-	flavodoxin	APW43191	2528909	2530210	-	murein transglycosylase	APW43189	2523519	2525099	-	hypothetical protein	APW43193	2531104	2532006	+	AraC family transcriptional regulator	APW43190	2526766	2528898	+	bifunctional diguanylate cyclase/phosphodiesterase	APW43186	2514252	2516528	+	cadmium-translocating P-type ATPase	APW43195	2533223	2533465	+	hypothetical protein	APW43208	2547871	2548551	+	two-component system response regulator	APW43209	2548553	2549965	+	sensor histidine kinase
GCA_001955715.1_ASM195571v1	Rhodoferax saidenbachensis (b-proteobacteria)	APW43236	2580893	2581591	+	protein TolQ	APW43235	2579691	2580875	+	aminotransferase	APW43234	2579126	2579665	+	N utilization substance protein B	APW43233	2578653	2579126	+	"6,7-dimethyl-8-ribityllumazine synthase"	APW43237	2581620	2582054	+	protein TolR	APW43238	2582070	2583026	+	protein TolA	APW43240	2586807	2587238	+	hypothetical protein	APW44850	2590101	2590559	-	hypothetical protein	APW43243	2589546	2590091	-	hypothetical protein	APW43239	2583128	2586694	-	DNA polymerase III subunit alpha	APW43229	2571904	2573826	-	hypothetical protein	APW43228	2571338	2571895	-	prepilin-type N-terminal cleavage/methylation domain-containing protein	APW43227	2570835	2571347	-	type IV pilus modification protein PilV
GCA_001955715.1_ASM195571v1	Rhodoferax saidenbachensis (b-proteobacteria)	APW44370	3966931	3967578	-	flagellar motor protein MotA	APW44374	3969612	3970562	-	HPr kinase/phosphorylase	APW44372	3968411	3968950	-	outer membrane protein assembly factor BamE	APW44371	3967575	3968378	-	4-hydroxy-tetrahydrodipicolinate reductase	APW44369	3966339	3966776	-	biopolymer transporter ExbD	APW44368	3963519	3966269	-	leucine--tRNA ligase	APW44367	3963014	3963517	-	hypothetical protein	APW44357	3948890	3949081	+	4-oxalocrotonate tautomerase	APW44355	3945256	3946365	+	stress response kinase A	APW44354	3943692	3945209	+	serine/threonine protein kinase	APW44373	3969035	3969463	+	transcriptional repressor	APW44377	3971817	3972806	+	magnesium and cobalt transport protein CorA	APW44991	3978867	3979349	+	NUDIX hydrolase
GCA_002009335.2_ASM200933v2	Desulfococcus multivorans (d-proteobacteria)	AQU99646	427993	429390	+	MotA	AQU99645	427034	427996	+	hypothetical protein	AQU99643	425783	426319	+	DtxR family iron (metal) dependent repressor	AQU99642	424388	425500	+	porin	AQU99647	429387	430046	+	MotA	AQU99648	430040	430471	+	biopolymer transporter ExbD	AQU99649	430468	431241	+	hypothetical protein	AQU99653	434023	434829	-	molybdate ABC transporter substrate-binding protein	AQU99652	433325	434023	-	molybdate ABC transporter permease	AQU99651	432197	433318	-	molybdenum ABC transporter ATP-binding protein	AQX36449	426496	426810	-	hypothetical protein	AQU99644	426356	426499	-	hypothetical protein	AQU99641	422676	423572	-	sirohydrochlorin cobaltochelatase
GCA_002009335.2_ASM200933v2	Desulfococcus multivorans (d-proteobacteria)	AQU99647	429387	430046	+	MotA	AQU99646	427993	429390	+	MotA	AQU99645	427034	427996	+	hypothetical protein	AQU99643	425783	426319	+	DtxR family iron (metal) dependent repressor	AQU99648	430040	430471	+	biopolymer transporter ExbD	AQU99649	430468	431241	+	hypothetical protein	AQU99650	431258	432172	+	hypothetical protein	AQU99653	434023	434829	-	molybdate ABC transporter substrate-binding protein	AQU99652	433325	434023	-	molybdate ABC transporter permease	AQU99651	432197	433318	-	molybdenum ABC transporter ATP-binding protein	AQX36449	426496	426810	-	hypothetical protein	AQU99644	426356	426499	-	hypothetical protein	AQU99641	422676	423572	-	sirohydrochlorin cobaltochelatase
GCA_002117005.1_ASM211700v1	Sedimentisphaera salicampi (bacteria)	ARN57239	2192435	2193886	+	Biopolymer transport protein ExbB	ARN57238	2191605	2192417	+	chromosome segregation protein SMC	ARN57237	2188394	2191459	+	TonB-dependent receptor	ARN57236	2187096	2188400	+	hypothetical protein	ARN57240	2193886	2194515	+	Biopolymer transport protein ExbB	ARN57241	2194570	2194983	+	biopolymer transport protein ExbD	ARN57242	2194995	2195660	+	hypothetical protein	ARN57247	2203924	2204880	-	hypothetical protein	ARN57246	2202890	2203822	-	EcoKMrr	ARN57245	2200274	2202583	-	putative amino acid permease YhdG	ARN57234	2182815	2183108	-	Glutamyl-tRNA(Gln) amidotransferase subunit C	ARN57233	2180684	2182159	-	Glutamyl-tRNA(Gln) amidotransferase subunit A	ARN57232	2178699	2180069	-	methylcobalamin:coenzyme M methyltransferase
GCA_002117005.1_ASM211700v1	Sedimentisphaera salicampi (bacteria)	ARN57520	2569574	2570350	+	Biopolymer transport protein ExbB	ARN57519	2568322	2569572	+	marine proteobacterial sortase target protein	ARN57518	2566923	2568191	+	"Putative L,D-transpeptidase YkuD"	ARN57517	2566323	2566907	+	5-formyltetrahydrofolate cyclo-ligase family protein	ARN57521	2570350	2570862	+	Biopolymer transport protein ExbD/TolR	ARN57522	2571079	2572788	+	Stress protein H5	ARN57523	2572865	2573152	+	co-chaperonin GroES	ARN57532	2582198	2582710	-	putative manganese efflux pump MntP	ARN57531	2580991	2582133	-	Ribonuclease D	ARN57528	2577223	2578848	-	Choline-sulfatase	ARN57514	2560930	2562153	-	Transposase	ARN57513	2560560	2560703	-	hypothetical protein	ARN57511	2556902	2558269	-	Transcriptional regulatory protein ZraR
GCA_002162075.1_ASM216207v1	Armatimonadetes bacterium Uphvl-Ar1 (bacteria)	ARU42506	32231	33079	+	flagellar motor stator protein MotA	ARU39643	28849	29859	+	hypothetical protein	ARU39640	24561	25232	+	DNA-binding response regulator	ARU39639	24091	24567	+	hypothetical protein	ARU39646	33093	34037	+	hypothetical protein	ARU39647	34134	34424	+	hypothetical protein	ARU39649	34987	36183	+	"homogentisate 1,2-dioxygenase"	ARU39651	36920	37687	-	hypothetical protein	ARU39650	36279	36923	-	hypothetical protein	ARU39648	34497	34754	-	hypothetical protein	ARU39645	30329	32119	-	hypothetical protein	ARU39644	29814	30332	-	crossover junction endodeoxyribonuclease RuvC	ARU39642	25668	28778	-	hypothetical protein
GCA_002310495.1_ASM231049v1	Nibricoccus aquaticus (verrucomicrobia)	ATC62712	307955	308617	+	flagellar motor protein MotA	ATC62694	281008	281634	+	rhombosortase	ATC62693	278904	280934	+	hypothetical protein	ATC62686	270442	271509	+	peptidase M42	ATC62713	308699	309139	+	biopolymer transporter ExbD	ATC62714	309182	309613	+	biopolymer transporter ExbD	ATC62715	309635	310303	+	energy transducer TonB	ATC62720	316731	316904	-	DUF1328 domain-containing protein	ATC62719	316127	316645	-	hypothetical protein	ATC65925	313684	315948	-	hypothetical protein	ATC62711	306712	306906	-	50S ribosomal protein L35	ATC62710	306247	306630	-	50S ribosomal protein L20	ATC62709	305045	306088	-	phenylalanine--tRNA ligase subunit alpha
GCA_002310495.1_ASM231049v1	Nibricoccus aquaticus (verrucomicrobia)	ATC63405	1253801	1254517	-	flagellar motor protein MotA	ATC66002	1258854	1260290	-	oxidoreductase	ATC63407	1257349	1258758	-	aspartate ammonia-lyase	ATC63406	1254569	1257241	-	hypothetical protein	ATC63404	1253352	1253804	-	hypothetical protein	ATC63403	1252600	1253352	-	hypothetical protein	ATC63402	1251150	1252340	-	elongation factor Tu	ATC63392	1236573	1237499	+	DNA-binding protein	ATC63390	1232365	1235253	+	hypothetical protein	ATC63389	1228959	1232270	+	glycosyl hydrolase family 2	ATC66003	1260567	1264307	+	hypothetical protein	ATC63440	1285238	1285531	+	hypothetical protein	ATC63441	1285613	1286491	+	hypothetical protein
GCA_002310495.1_ASM231049v1	Nibricoccus aquaticus (verrucomicrobia)	ATC63650	1585958	1586824	-	flagellar motor protein MotA	ATC63653	1589494	1590312	-	short-chain dehydrogenase/reductase	ATC63652	1588432	1589433	-	NADPH:quinone oxidoreductase	ATC63651	1587015	1587824	-	RNA polymerase subunit sigma-28	ATC63649	1585078	1585938	-	flagellar motor protein MotB	ATC63648	1584810	1585052	-	hypothetical protein	ATC63647	1583483	1584691	-	hybrid sensor histidine kinase/response regulator	ATC63637	1565507	1567849	+	hypothetical protein	ATC63636	1564301	1565296	+	hypothetical protein	ATC63635	1563492	1564304	+	ABC transporter ATP-binding protein	ATC63654	1590418	1590984	+	TetR family transcriptional regulator	ATC63659	1599633	1600388	+	hypothetical protein	ATC66027	1615377	1616207	+	chemotaxis protein CheR
GCA_002310495.1_ASM231049v1	Nibricoccus aquaticus (verrucomicrobia)	ATC64798	3246069	3246737	-	flagellar motor protein MotA	ATC64805	3256102	3258057	-	hypothetical protein	ATC64804	3253919	3255223	-	hypothetical protein	ATC64800	3248512	3249465	-	nitrate transporter	ATC64797	3245622	3246056	-	biopolymer transporter ExbD	ATC64796	3245146	3245580	-	biopolymer transporter ExbD	ATC64795	3244468	3245142	-	energy transducer TonB	ATC64779	3218681	3220174	+	sodium-independent anion transporter	ATC64729	3151386	3151673	+	hypothetical protein	ATC64719	3136211	3137146	+	glycosyltransferase	ATC64799	3247002	3248477	+	hypothetical protein	ATC66125	3249546	3250523	+	LysR family transcriptional regulator	ATC64801	3250786	3252168	+	hypothetical protein
GCA_002706795.1_ASM270679v1	Brevibacillus laterosporus DSM 25 (firmicutes)	ATO49114	1783548	1784378	-	chemotaxis protein	ATO49117	1786808	1787200	-	flagellar export chaperone FliS	ATO49116	1786440	1786808	-	flagellar protein FliT	ATO49115	1784540	1785658	-	erythromycin biosynthesis sensory transduction protein eryC1	ATO49113	1782800	1783558	-	chemotaxis protein	ATO49112	1781765	1781962	-	cold-shock protein	ATO49111	1780946	1781497	-	ribosomal subunit interface protein	ATO49108	1775346	1776764	+	two-component sensor histidine kinase	ATO49107	1774616	1775356	+	DNA-binding response regulator	ATO49088	1751492	1752334	+	flagellar hook capping family protein	ATO52008	1785796	1786347	+	N-acetyltransferase	ATO49130	1796701	1797450	+	type I methionyl aminopeptidase	ATO49147	1823535	1824191	+	YigZ family protein
GCA_002706795.1_ASM270679v1	Brevibacillus laterosporus DSM 25 (firmicutes)	ATO49967	2797658	2798461	+	flagellar motor protein MotA	ATO49966	2795348	2797450	+	polysaccharide deacetylase	ATO52062	2793418	2794470	+	hypothetical protein	ATO49964	2793104	2793346	+	hypothetical protein	ATO49968	2798454	2799248	+	flagellar motor protein MotB	ATO52063	2800428	2801882	+	GntR family transcriptional regulator	ATO49970	2801963	2802193	+	DUF1450 domain-containing protein	ATO49972	2803594	2803893	-	(Fe-S)-binding protein	ATO49971	2802283	2803527	-	hypothetical protein	ATO49969	2799663	2800280	-	lysine transporter LysE	ATO49965	2794510	2794881	-	hypothetical protein	ATO49960	2789507	2790070	-	"Rossman fold protein, TIGR00730 family"	ATO49957	2787561	2787752	-	hypothetical protein
GCA_002762215.1_ASM276221v1	Rhizobacter gummiphilus (b-proteobacteria)	ATU63282	286304	287125	+	biopolymer transporter ExbB	ATU63281	285642	286343	+	biopolymer transporter	ATU63279	283855	285057	+	alanine transaminase	ATU63278	281685	283754	+	penicillin-binding protein 1C	ATU63283	287152	287571	+	biopolymer transporter ExbD	ATU63284	287575	287805	+	hemin uptake protein HemP	ATU63285	287891	289126	+	DUF2325 domain-containing protein	ATU63297	303520	304956	-	hypothetical protein	ATU63296	300967	303264	-	TonB-dependent siderophore receptor	ATU63295	300196	300876	-	Fe2+-dependent dioxygenase	ATU63280	285094	285459	-	phage holin family protein	ATU63275	273709	274203	-	cyclic pyranopterin monophosphate synthase MoaC	ATU63260	257953	258624	-	DNA-binding response regulator
GCA_002762215.1_ASM276221v1	Rhizobacter gummiphilus (b-proteobacteria)	ATU64277	1470715	1471542	-	MotA/TolQ/ExbB proton channel family protein	ATU64284	1480260	1480655	-	hypothetical protein	ATU64282	1475993	1477438	-	MFS transporter	ATU64280	1474047	1474304	-	hypothetical protein	ATU64276	1470264	1470692	-	biopolymer transporter ExbD	ATU64275	1469826	1470260	-	biopolymer transporter ExbD	ATU64274	1469131	1469829	-	energy transducer TonB	ATU64273	1468290	1469057	+	NAD(P)-dependent oxidoreductase	ATU64265	1458322	1459032	+	energy transducer TonB	ATU64264	1456547	1458202	+	tannase/feruloyl esterase family alpha/beta hydrolase	ATU64278	1471965	1472645	+	DNA-binding response regulator	ATU64279	1472642	1474012	+	sensor histidine kinase	ATU64281	1474723	1475898	+	sensor domain-containing diguanylate cyclase
GCA_002762215.1_ASM276221v1	Rhizobacter gummiphilus (b-proteobacteria)	ATU65616	3175277	3175924	-	MotA/TolQ/ExbB proton channel family protein	ATU65623	3183157	3184416	-	hypothetical protein	ATU65621	3180363	3180815	-	azurin	ATU65619	3178438	3178884	-	hypothetical protein	ATU68567	3174832	3175251	-	biopolymer transporter ExbD	ATU65615	3173781	3174821	-	tetraacyldisaccharide 4'-kinase	ATU65614	3173563	3173763	-	hypothetical protein	ATU65610	3168344	3171157	+	hypothetical protein	ATU65609	3166479	3168335	+	ABC transporter ATP-binding protein	ATU65608	3165067	3166482	+	ABC transporter permease	ATU65617	3176316	3177680	+	exodeoxyribonuclease VII large subunit	ATU65618	3177759	3178340	+	superoxide dismutase [Fe]	ATU65620	3179013	3180266	+	NADP-dependent isocitrate dehydrogenase
GCA_002762215.1_ASM276221v1	Rhizobacter gummiphilus (b-proteobacteria)	ATU65955	3568553	3569482	-	flagellar motor stator protein MotA	ATU68589	3570697	3571347	-	hypothetical protein	ATU65957	3570230	3570700	-	flagellar basal body protein	ATU65956	3569503	3570225	-	RNA polymerase sigma factor FliA	ATU65954	3567553	3568569	-	histidine kinase	ATU65953	3567229	3567507	-	flagellar biosynthesis anti-sigma factor FlgM	ATU65952	3566813	3567232	-	flagellar protein FlgN	ATU65950	3565416	3566123	+	flagella basal body P-ring formation protein FlgA	ATU65926	3543659	3544753	+	flagellar hook-length control protein FliK	ATU65925	3542738	3543598	+	Lateral flagellin	ATU65967	3580029	3580544	+	DUF2262 domain-containing protein	ATU65971	3583480	3584256	+	peptidoglycan endopeptidase	ATU65972	3584303	3585412	+	"GTP 3',8-cyclase MoaA"
GCA_002762215.1_ASM276221v1	Rhizobacter gummiphilus (b-proteobacteria)	ATU66302	3990656	3991516	+	flagellar motor stator protein MotA	ATU66301	3989832	3990371	+	flagellar transcriptional regulator FlhC	ATU66300	3989451	3989774	+	flagellar transcriptional regulator FlhD	ATU66299	3987234	3989153	+	glycosyltransferase	ATU66303	3991550	3992524	+	motility protein MotB	ATU66304	3992552	3992944	+	chemotaxis protein CheY	ATU66305	3992956	3993582	+	protein phosphatase CheZ	ATU66308	3995768	3996949	-	hypothetical protein	ATU66307	3995119	3995757	-	DNA-binding response regulator	ATU66306	3993643	3994992	-	dicarboxylate/amino acid:cation symporter	ATU66298	3986109	3986954	-	flagellin FliC	ATU66297	3984821	3985666	-	flagellin FliC	ATU66296	3983729	3984580	-	flagellin FliC
GCA_002762215.1_ASM276221v1	Rhizobacter gummiphilus (b-proteobacteria)	ATU66653	4392947	4393660	+	protein TolQ	ATU66652	4392453	4392869	+	tol-pal system-associated acyl-CoA thioesterase	ATU68658	4392032	4392412	+	hypothetical protein	ATU66651	4390239	4392023	+	serine/threonine protein kinase	ATU66654	4393664	4394089	+	protein TolR	ATU68659	4394115	4394990	+	protein TolA	ATU68661	4399619	4401547	+	pilus assembly protein PilB	ATU66657	4396315	4396857	-	DUF3455 domain-containing protein	ATU66656	4395713	4396264	-	RNA polymerase subunit sigma	ATU66655	4395000	4395725	-	RNA polymerase subunit sigma-70	ATU66640	4377026	4378639	-	3-octaprenyl-4-hydroxybenzoate decarboxylase	ATU68654	4371213	4371770	-	PaaI family thioesterase	ATU66633	4370698	4371129	-	lactoylglutathione lyase
GCA_002795805.1_ASM279580v1	Mariprofundus aestuarium (proteobacteria)	ATX78565	108661	109425	+	chemotaxis protein MotA	ATX78564	107137	108525	+	flagellar hook protein FlgE	ATX78563	106445	107101	+	flagellar basal-body rod modification protein FlgD	ATX78562	104213	106426	+	hook-length control protein FliK	ATX78566	109432	110211	+	Flagellar motor protein MotB	ATX78567	110216	110953	+	chemotaxis protein MotB	ATX78568	111000	111512	+	flagellar FliL protein	ATX78576	117324	117836	-	ATP-dependent Lon protease	ATX78575	115744	117315	-	"HD-GYP domain, c-di-GMP phosphodiesterase class II (or its inactivated variant)"	ATX78574	115090	115695	-	PilZ domain-containing protein	ATX78547	90108	90563	-	"transcriptional regulator, BadM/Rrf2 family"	ATX78546	88642	90108	-	Iron-regulated ABC transporter membrane component SufB	ATX78545	87877	88629	-	Iron-regulated ABC transporter ATPase subunit SufC
GCA_002795805.1_ASM279580v1	Mariprofundus aestuarium (proteobacteria)	ATX78592	132829	133677	+	chemotaxis protein MotA	ATX78590	130744	131205	+	hypothetical protein	ATX78573	114108	114917	+	tol-pal system protein YbgF	ATX78572	113175	113927	+	flagellar biosynthetic protein FliP	ATX78593	133677	134435	+	chemotaxis protein MotB	ATX78595	136030	136332	+	flagellar biosynthetic protein FliQ	ATX78596	136334	137116	+	flagellar biosynthetic protein FliR	ATX78625	155477	155878	-	flagellar protein FliS	ATX78624	155160	155477	-	hypothetical protein	ATX78594	134469	135863	-	"DNA-binding transcriptional response regulator, NtrC family"	ATX78591	131263	132657	-	"Adenylate cyclase, class 3"	ATX78589	128636	130603	-	Tetratricopeptide repeat-containing protein	ATX78588	127287	128639	-	"two-component system, response regulator FlrC"
