Double-checking the MotB sequences / IDs in the file:  					motB_filtered.fasta										
															
"Notes for fixing on the right. The ones with the biggest issues are at the bottom, these are probably the cases where the MotA neighbor was not actually a MotB homolog, e.g. sometimes there is an insertion or switching from coding on + strand to - strand. "															
															
															
															
															
		names from: motB_filtered.fasta	MotA IDs from: motB_filtered.fasta		MotB IDs from: motB_filtered.fasta			These are hits in Nick's Excel file of gene neighbors to the MotA/TolQ/ExbB homologs; this contains clear MotB/TolR/ExbD homologs for most proteins (exceptions at the bottom)							
175	219	ATX82358_ATX82357_outer membrane transport energization protein ExbD_Mariprofundus ferrinatatus (proteobacteria)	ATX82358	ATX82357_outer membrane transport energization protein ExbD_Mariprofundus ferrinatatus (proteobacteria)	ATX82357	375	1	ATX82357	ATX82357.1	outer membrane transport energization protein ExbD		y			
176	220	ATX82900_ATX82901_chemotaxis protein MotB_Mariprofundus ferrinatatus (proteobacteria)	ATX82900	ATX82901_chemotaxis protein MotB_Mariprofundus ferrinatatus (proteobacteria)	ATX82901	970	1	ATX82901	ATX82901.1	chemotaxis protein MotB		y			
177	221	ATX82928_ATX82929_chemotaxis protein MotB_Mariprofundus ferrinatatus (proteobacteria)	ATX82928	ATX82929_chemotaxis protein MotB_Mariprofundus ferrinatatus (proteobacteria)	ATX82929	951	1	ATX82929	ATX82929.1	chemotaxis protein MotB		y			
178	222	AVM45096_AVM45098_hypothetical protein_Victivallales bacterium CCUG 44730 (bacteria)	AVM45096	AVM45098_hypothetical protein_Victivallales bacterium CCUG 44730 (bacteria)	AVM45098	724	1	AVM45097	AVM45097.1	protein TolR					
179	223	AVM45415_AVM45417_hypothetical protein_Victivallales bacterium CCUG 44730 (bacteria)	AVM45415	AVM45417_hypothetical protein_Victivallales bacterium CCUG 44730 (bacteria)	AVM45417	365	1	AVM45416	AVM45416.1	hypothetical protein					hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
180	224	AVQ28424_AVQ28426_energy transducer TonB_Fusobacterium ulcerans (fusobacteria)	AVQ28424	AVQ28426_energy transducer TonB_Fusobacterium ulcerans (fusobacteria)	AVQ28426	197	1	AVQ28425	AVQ28425.1	biopolymer transporter ExbD					
181	225	AVQ29260_AVQ29262_energy transducer TonB_Fusobacterium ulcerans (fusobacteria)	AVQ29260	AVQ29262_energy transducer TonB_Fusobacterium ulcerans (fusobacteria)	AVQ29262	192	1	AVQ29261	AVQ29261.1	biopolymer transporter ExbD					
182	227	AWG41586_AWG41585_Mot family proton (H+) or sodium (Na+) transporter MotB_Treponema pallidum subsp. pertenue (yaws treponeme)	AWG41586	AWG41585_Mot family proton (H+) or sodium (Na+) transporter MotB_Treponema pallidum subsp. pertenue (yaws treponeme)	AWG41585	924	1	AWG41585	AWG41585.1	Mot family proton (H+) or sodium (Na+) transporter MotB		y			
183	228	AWI08418_AWI08419_hypothetical protein_Ereboglobus luteus (verrucomicrobia)	AWI08418	AWI08419_hypothetical protein_Ereboglobus luteus (verrucomicrobia)	AWI08419	366	1	AWI08419	AWI08419.1	hypothetical protein		y			hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
184	229	AWI08882_AWI08883_biopolymer transporter ExbD_Ereboglobus luteus (verrucomicrobia)	AWI08882	AWI08883_biopolymer transporter ExbD_Ereboglobus luteus (verrucomicrobia)	AWI08883	331	1	AWI08883	AWI08883.1	biopolymer transporter ExbD		y			
185	231	AWV88602_AWV88604_hypothetical protein_Bradymonas sediminis (d-proteobacteria)	AWV88602	AWV88604_hypothetical protein_Bradymonas sediminis (d-proteobacteria)	AWV88604	635	1	AWV88603	AWV88603.1	protein TolR					
186	232	AWV89332_AWV89334_hypothetical protein_Bradymonas sediminis (d-proteobacteria)	AWV89332	AWV89334_hypothetical protein_Bradymonas sediminis (d-proteobacteria)	AWV89334	809	1	AWV89331	AWV89331.1	biopolymer transporter ExbD					
187	233	AWV89461_AWV89463_hypothetical protein_Bradymonas sediminis (d-proteobacteria)	AWV89461	AWV89463_hypothetical protein_Bradymonas sediminis (d-proteobacteria)	AWV89463	190	1	AWV89462	AWV89462.1	hypothetical protein					hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
188	237	BAC61768_BAC63092_conserved hypothetical protein_Vibrio parahaemolyticus RIMD 2210633 (g-proteobacteria)	BAC61768	BAC63092_conserved hypothetical protein_Vibrio parahaemolyticus RIMD 2210633 (g-proteobacteria)	BAC63092	248	1	BAC61767	BAC61767.1	TonB system transport protein ExbD1					
189	239	BAC89082_BAC89081_ExbD/TolR family protein_Gloeobacter violaceus PCC 7421 (cyanobacteria)	BAC89082	BAC89081_ExbD/TolR family protein_Gloeobacter violaceus PCC 7421 (cyanobacteria)	BAC89081	821	1	BAC89081	BAC89081.1	ExbD/TolR family protein		y			
190	242	BAD41956_BAD41955_flagellar motor protein MotB_Symbiobacterium thermophilum IAM 14863 (firmicutes)	BAD41956	BAD41955_flagellar motor protein MotB_Symbiobacterium thermophilum IAM 14863 (firmicutes)	BAD41955	884	1	BAD41955	BAD41955.1	flagellar motor protein MotB		y			
191	243	BAG40198_BAG40199_TolR protein_Orientia tsutsugamushi str. Ikeda (a-proteobacteria)	BAG40198	BAG40199_TolR protein_Orientia tsutsugamushi str. Ikeda (a-proteobacteria)	BAG40199	597	1	BAG40199	BAG40199.1	TolR protein		y			
192	244	BAH37338_BAH37337_chemotaxis MotB protein_Gemmatimonas aurantiaca T-27 (bacteria)	BAH37338	BAH37337_chemotaxis MotB protein_Gemmatimonas aurantiaca T-27 (bacteria)	BAH37337	1199	1	BAH37337	BAH37337.1	chemotaxis MotB protein		y			
193	249	BAM06957_BAM06956_biopolymer transport protein ExbD/TolR_Leptospirillum ferrooxidans C2-3 (bacteria)	BAM06957	BAM06956_biopolymer transport protein ExbD/TolR_Leptospirillum ferrooxidans C2-3 (bacteria)	BAM06956	647	1	BAM06956	BAM06956.1	biopolymer transport protein ExbD/TolR		y			
194	250	BAS27507_BAS27508_flagellar motor protein MotB_Limnochorda pilosa (firmicutes)	BAS27507	BAS27508_flagellar motor protein MotB_Limnochorda pilosa (firmicutes)	BAS27508	939	1	BAS27508	BAS27508.1	flagellar motor protein MotB		y			
195	251	BAS27557_BAS27558_biopolymer transporter ExbD_Limnochorda pilosa (firmicutes)	BAS27557	BAS27558_biopolymer transporter ExbD_Limnochorda pilosa (firmicutes)	BAS27558	354	1	BAS27558	BAS27558.1	biopolymer transporter ExbD		y			
196	252	"BBM36826_BBM36825_transport energizing protein, ExbD/TolR family_Pseudoleptotrichia goodfellowii (fusobacteria)"	BBM36826	"BBM36825_transport energizing protein, ExbD/TolR family_Pseudoleptotrichia goodfellowii (fusobacteria)"	BBM36825	194	1	BBM36825	BBM36825.1	"transport energizing protein, ExbD/TolR family"		y			
197	253	BCB95125_BCB95124_protein TolR_Dissulfurispira thermophila (bacteria)	BCB95125	BCB95124_protein TolR_Dissulfurispira thermophila (bacteria)	BCB95124	648	1	BCB95124	BCB95124.1	protein TolR		y			
198	254	BCB96091_BCB96092_chemotaxis protein MotB_Dissulfurispira thermophila (bacteria)	BCB96091	BCB96092_chemotaxis protein MotB_Dissulfurispira thermophila (bacteria)	BCB96092	877	1	BCB96092	BCB96092.1	chemotaxis protein MotB		y			
199	255	BCB96094_BCB96095_hypothetical protein_Dissulfurispira thermophila (bacteria)	BCB96094	BCB96095_hypothetical protein_Dissulfurispira thermophila (bacteria)	BCB96095	1193	1	BCB96095	BCB96095.1	hypothetical protein		y			
200	256	BCI63438_BCI63437_biopolymer transporter ExbD_Coprobacter secundus subsp. similis (CFB group bacteria)	BCI63438	BCI63437_biopolymer transporter ExbD_Coprobacter secundus subsp. similis (CFB group bacteria)	BCI63437	404	1	BCI63437	BCI63437.1	biopolymer transporter ExbD		y			
201	257	BCI63565_BCI63566_biopolymer transporter ExbD_Coprobacter secundus subsp. similis (CFB group bacteria)	BCI63565	BCI63566_biopolymer transporter ExbD_Coprobacter secundus subsp. similis (CFB group bacteria)	BCI63566	395	1	BCI63566	BCI63566.1	biopolymer transporter ExbD		y			
202	258	BDB95989_BDB95990_protein TolR_Candidatus Hydrogenosomobacter endosymbioticus (a-proteobacteria)	BDB95989	BDB95990_protein TolR_Candidatus Hydrogenosomobacter endosymbioticus (a-proteobacteria)	BDB95990	613	1	BDB95990	BDB95990.1	protein TolR		y			
203	259	CAB13242_CAB13241_motility protein B; MotB component of the H+-coupled stator flagellum complex_Bacillus subtilis subsp. subtilis str. 168 (firmicutes)	CAB13242	CAB13241_motility protein B; MotB component of the H+-coupled stator flagellum complex_Bacillus subtilis subsp. subtilis str. 168 (firmicutes)	CAB13241	890	1	CAB13241	CAB13241.1	motility protein B; MotB component of the H+-coupled stator flagellum complex		y			
204	261	CAD71937_CAD71936_probable biopolymer transport ExbD protein_Rhodopirellula baltica SH 1 (bacteria)	CAD71937	CAD71936_probable biopolymer transport ExbD protein_Rhodopirellula baltica SH 1 (bacteria)	CAD71936	277	1	CAD71936	CAD71936.1	probable biopolymer transport ExbD protein		y			
205	262	CAD73493_CAD73494_hypothetical protein-transmembrane prediction_Rhodopirellula baltica SH 1 (bacteria)	CAD73493	CAD73494_hypothetical protein-transmembrane prediction_Rhodopirellula baltica SH 1 (bacteria)	CAD73494	289	1	CAD73494	CAD73494.1	hypothetical protein-transmembrane prediction		y			
206	263	CAD74695_CAD74694_hypothetical protein_Rhodopirellula baltica SH 1 (bacteria)	CAD74695	CAD74694_hypothetical protein_Rhodopirellula baltica SH 1 (bacteria)	CAD74694	295	1	NA	NA	NA					hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
207	264	CAD76169_CAD76170_probable MotB homolog_Rhodopirellula baltica SH 1 (bacteria)	CAD76169	CAD76170_probable MotB homolog_Rhodopirellula baltica SH 1 (bacteria)	CAD76170	911	1	CAD76170	CAD76170.1	probable MotB homolog		y			
208	265	CAD76944_CAD76945_similar to biopolymer transport exbD2 protein_Rhodopirellula baltica SH 1 (bacteria)	CAD76944	CAD76945_similar to biopolymer transport exbD2 protein_Rhodopirellula baltica SH 1 (bacteria)	CAD76945	1277	1	CAD76945	CAD76945.1	similar to biopolymer transport exbD2 protein		y			
209	266	CAD77369_CAD77368_conserved hypothetical protein-putative export protein ExbD_Rhodopirellula baltica SH 1 (bacteria)	CAD77369	CAD77368_conserved hypothetical protein-putative export protein ExbD_Rhodopirellula baltica SH 1 (bacteria)	CAD77368	283	1	CAD77368	CAD77368.1	conserved hypothetical protein-putative export protein ExbD		y			
210	272	CCG57546_CCG57547_flagellar motor protein MotB_Brachyspira pilosicoli WesB (bacteria)	CCG57546	CCG57547_flagellar motor protein MotB_Brachyspira pilosicoli WesB (bacteria)	CCG57547	931	1	CCG57547	CCG57547.1	flagellar motor protein MotB		y			
211	275	CCW36281_CCW36280_outer membrane transport energization protein ExbD (TC 2.C.1.1.1)_Chthonomonas calidirosea T49 (bacteria)	CCW36281	CCW36280_outer membrane transport energization protein ExbD (TC 2.C.1.1.1)_Chthonomonas calidirosea T49 (bacteria)	CCW36280	347	1	CCW36280	CCW36280.1	outer membrane transport energization protein ExbD (TC 2.C.1.1.1)		y			
212	276	CDK97637_CDK97636_Biopolymer transport protein exbD_Magnetospirillum gryphiswaldense MSR-1 v2 (a-proteobacteria)	CDK97637	CDK97636_Biopolymer transport protein exbD_Magnetospirillum gryphiswaldense MSR-1 v2 (a-proteobacteria)	CDK97636	581	1	CDK97636	CDK97636.1	Biopolymer transport protein exbD		y			
213	277	CDK97994_CDK97995_TolR protein_Magnetospirillum gryphiswaldense MSR-1 v2 (a-proteobacteria)	CDK97994	CDK97995_TolR protein_Magnetospirillum gryphiswaldense MSR-1 v2 (a-proteobacteria)	CDK97995	604	1	CDK97995	CDK97995.1	TolR protein		y			
214	278	CDK98228_CDK98227_putative flagellar motor apparatus component_Magnetospirillum gryphiswaldense MSR-1 v2 (a-proteobacteria)	CDK98228	CDK98227_putative flagellar motor apparatus component_Magnetospirillum gryphiswaldense MSR-1 v2 (a-proteobacteria)	CDK98227	943	1	CDK98227	CDK98227.1	putative flagellar motor apparatus component		y			
215	284	EKT88755_EKT85765_hypothetical protein_Leptospira santarosai serovar Shermani str. LT 821 (bacteria)	EKT88755	EKT85765_hypothetical protein_Leptospira santarosai serovar Shermani str. LT 821 (bacteria)	EKT85765	903	1	NA	NA	NA					hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
216	285	QAR32385_QAR32386_flagellar motor protein MotB_Geovibrio thiophilus (bacteria)	QAR32385	QAR32386_flagellar motor protein MotB_Geovibrio thiophilus (bacteria)	QAR32386	968	1	QAR32386	QAR32386.1	flagellar motor protein MotB		y			
217	286	QAR32927_QAR32928_biopolymer transporter ExbD_Geovibrio thiophilus (bacteria)	QAR32927	QAR32928_biopolymer transporter ExbD_Geovibrio thiophilus (bacteria)	QAR32928	244	1	QAR32928	QAR32928.1	biopolymer transporter ExbD		y			
218	287	QAR33430_QAR33429_biopolymer transporter ExbD_Geovibrio thiophilus (bacteria)	QAR33430	QAR33429_biopolymer transporter ExbD_Geovibrio thiophilus (bacteria)	QAR33429	378	1	QAR33429	QAR33429.1	biopolymer transporter ExbD		y			
219	289	QAT17178_QAT17177_biopolymer transport protein ExbD_Candidatus Velamenicoccus archaeovorus (bacteria)	QAT17178	QAT17177_biopolymer transport protein ExbD_Candidatus Velamenicoccus archaeovorus (bacteria)	QAT17177	822	1	QAT17177	QAT17177.1	biopolymer transport protein ExbD		y			
220	290	QAT17590_QAT17589_biopolymer transport protein ExbD/TolR_Candidatus Velamenicoccus archaeovorus (bacteria)	QAT17590	QAT17589_biopolymer transport protein ExbD/TolR_Candidatus Velamenicoccus archaeovorus (bacteria)	QAT17589	400	1	QAT17589	QAT17589.1	biopolymer transport protein ExbD/TolR		y			
221	291	QAT61614_QAT61615_flagellar motor protein MotB_Tissierella sp. JN-28 (firmicutes)	QAT61614	QAT61615_flagellar motor protein MotB_Tissierella sp. JN-28 (firmicutes)	QAT61615	940	1	QAT61615	QAT61615.1	flagellar motor protein MotB		y			
222	292	QAT63225_QAT63224_hypothetical protein_Tissierella sp. JN-28 (firmicutes)	QAT63225	QAT63224_hypothetical protein_Tissierella sp. JN-28 (firmicutes)	QAT63224	942	1	QAT63224	QAT63224.1	hypothetical protein		y			
223	293	QDU25289_QDU25288_Motility protein B_Anatilimnocola aggregata (bacteria)	QDU25289	QDU25288_Motility protein B_Anatilimnocola aggregata (bacteria)	QDU25288	1210	1	QDU25288	QDU25288.1	Motility protein B		y			
224	294	QDU25322_QDU25321_biopolymer transport protein ExbD_Anatilimnocola aggregata (bacteria)	QDU25322	QDU25321_biopolymer transport protein ExbD_Anatilimnocola aggregata (bacteria)	QDU25321	286	1	QDU25321	QDU25321.1	biopolymer transport protein ExbD		y			
225	295	QDU25761_QDU25760_Biopolymer transport protein ExbD_Anatilimnocola aggregata (bacteria)	QDU25761	QDU25760_Biopolymer transport protein ExbD_Anatilimnocola aggregata (bacteria)	QDU25760	274	1	QDU25760	QDU25760.1	Biopolymer transport protein ExbD		y			
226	297	QDU27583_QDU27582_Biopolymer transport protein ExbD/TolR_Anatilimnocola aggregata (bacteria)	QDU27583	QDU27582_Biopolymer transport protein ExbD/TolR_Anatilimnocola aggregata (bacteria)	QDU27582	1274	1	QDU27582	QDU27582.1	Biopolymer transport protein ExbD/TolR		y			
227	298	QDU29130_QDU29131_Biopolymer transport protein ExbD_Anatilimnocola aggregata (bacteria)	QDU29130	QDU29131_Biopolymer transport protein ExbD_Anatilimnocola aggregata (bacteria)	QDU29131	280	1	QDU29131	QDU29131.1	Biopolymer transport protein ExbD		y			
228	299	QDU30851_QDU30850_biopolymer transport protein ExbD_Anatilimnocola aggregata (bacteria)	QDU30851	QDU30850_biopolymer transport protein ExbD_Anatilimnocola aggregata (bacteria)	QDU30850	296	1	QDU30850	QDU30850.1	biopolymer transport protein ExbD		y			
229	300	QDU31292_QDU31293_Biopolymer transport protein ExbD/TolR_Anatilimnocola aggregata (bacteria)	QDU31292	QDU31293_Biopolymer transport protein ExbD/TolR_Anatilimnocola aggregata (bacteria)	QDU31293	388	1	QDU31293	QDU31293.1	Biopolymer transport protein ExbD/TolR		y			
230	301	QDU92956_QDU92955_Biopolymer transport protein ExbD/TolR_Lignipirellula cremea (bacteria)	QDU92956	QDU92955_Biopolymer transport protein ExbD/TolR_Lignipirellula cremea (bacteria)	QDU92955	390	1	QDU92955	QDU92955.1	Biopolymer transport protein ExbD/TolR		y			
231	302	QDU93364_QDU93365_Biopolymer transport protein ExbD_Lignipirellula cremea (bacteria)	QDU93364	QDU93365_Biopolymer transport protein ExbD_Lignipirellula cremea (bacteria)	QDU93365	276	1	QDU93365	QDU93365.1	Biopolymer transport protein ExbD		y			
232	303	QDU94732_QDU94731_colicin uptake protein TolR_Lignipirellula cremea (bacteria)	QDU94732	QDU94731_colicin uptake protein TolR_Lignipirellula cremea (bacteria)	QDU94731	1276	1	QDU94731	QDU94731.1	colicin uptake protein TolR		y			
233	304	QDU94893_QDU94894_Biopolymer transport protein ExbD/TolR_Lignipirellula cremea (bacteria)	QDU94893	QDU94894_Biopolymer transport protein ExbD/TolR_Lignipirellula cremea (bacteria)	QDU94894	300	1	QDU94894	QDU94894.1	Biopolymer transport protein ExbD/TolR		y			
234	305	QDU97593_QDU97594_Motility protein B_Lignipirellula cremea (bacteria)	QDU97593	QDU97594_Motility protein B_Lignipirellula cremea (bacteria)	QDU97594	910	1	QDU97594	QDU97594.1	Motility protein B		y			
235	306	QDU98188_QDU98189_Biopolymer transport protein ExbD/TolR_Lignipirellula cremea (bacteria)	QDU98188	QDU98189_Biopolymer transport protein ExbD/TolR_Lignipirellula cremea (bacteria)	QDU98189	288	1	QDU98189	QDU98189.1	Biopolymer transport protein ExbD/TolR		y			
236	308	QDU99088_QDU99089_Biopolymer transport protein ExbD_Lignipirellula cremea (bacteria)	QDU99088	QDU99089_Biopolymer transport protein ExbD_Lignipirellula cremea (bacteria)	QDU99089	282	1	QDU99089	QDU99089.1	Biopolymer transport protein ExbD		y			
237	310	QEO41881_QEO43587_hypothetical protein_Vibrio cholerae (g-proteobacteria)	QEO41881	QEO43587_hypothetical protein_Vibrio cholerae (g-proteobacteria)	QEO43587	1004	1	QEO41880	QEO41880.1	flagellar motor protein MotB					
238	312	QFG02534_QFG02533_OmpA family protein_Tepidiforma bonchosmolovskayae (GNS bacteria)	QFG02534	QFG02533_OmpA family protein_Tepidiforma bonchosmolovskayae (GNS bacteria)	QFG02533	902	1	QFG02533	QFG02533.1	OmpA family protein		y			
239	313	QIZ70555_QIZ70554_biopolymer transporter ExbD_Oxynema aestuarii AP17 (cyanobacteria)	QIZ70555	QIZ70554_biopolymer transporter ExbD_Oxynema aestuarii AP17 (cyanobacteria)	QIZ70554	315	1	QIZ70554	QIZ70554.1	biopolymer transporter ExbD		y			
240	314	QIZ71789_QIZ71788_biopolymer transporter ExbD_Oxynema aestuarii AP17 (cyanobacteria)	QIZ71789	QIZ71788_biopolymer transporter ExbD_Oxynema aestuarii AP17 (cyanobacteria)	QIZ71788	323	1	QIZ71788	QIZ71788.1	biopolymer transporter ExbD		y			
241	317	QJE97381_QJE97383_hypothetical protein_Luteolibacter luteus (verrucomicrobia)	QJE97381	QJE97383_hypothetical protein_Luteolibacter luteus (verrucomicrobia)	QJE97383	361	1	QJE97382	QJE97382.1	biopolymer transporter ExbD					
242	320	QJE97904_QJE97905_biopolymer transporter ExbD_Luteolibacter luteus (verrucomicrobia)	QJE97904	QJE97905_biopolymer transporter ExbD_Luteolibacter luteus (verrucomicrobia)	QJE97905	733	1	QJE99326	QJE99326.1	biopolymer transporter ExbD					
243	321	QJR34785_QJR34786_hypothetical protein_Gemmatimonas groenlandica (bacteria)	QJR34785	QJR34786_hypothetical protein_Gemmatimonas groenlandica (bacteria)	QJR34786	756	1	QJR34786	QJR34786.1	hypothetical protein		y			
244	322	QJR34845_QJR34846_biopolymer transporter ExbD_Gemmatimonas groenlandica (bacteria)	QJR34845	QJR34846_biopolymer transporter ExbD_Gemmatimonas groenlandica (bacteria)	QJR34846	743	1	QJR34846	QJR34846.1	biopolymer transporter ExbD		y			
245	323	QJR36484_QJR36485_OmpA family protein_Gemmatimonas groenlandica (bacteria)	QJR36484	QJR36485_OmpA family protein_Gemmatimonas groenlandica (bacteria)	QJR36485	1201	1	QJR36485	QJR36485.1	OmpA family protein		y			
246	329	QNQ10683_QNQ10685_biopolymer transporter ExbD_Sphingomonas alpina (a-proteobacteria)	QNQ10683	QNQ10685_biopolymer transporter ExbD_Sphingomonas alpina (a-proteobacteria)	QNQ10685	667	1	QNQ10684	QNQ10684.1	biopolymer transporter ExbD					
247	334	QOY87643_QOY87598_hypothetical protein_Paludibaculum fermentans (bacteria)	QOY87643	QOY87598_hypothetical protein_Paludibaculum fermentans (bacteria)	QOY87598	643	1	QOY87642	QOY87642.1	biopolymer transporter ExbD					
248	337	QOY88866_QOY88823_hypothetical protein_Paludibaculum fermentans (bacteria)	QOY88866	QOY88823_hypothetical protein_Paludibaculum fermentans (bacteria)	QOY88823	873	1	QOY88867	QOY88867.1	OmpA family protein					
249	338	QQS88170_QQS88172_energy transducer TonB_Fusobacterium canifelinum (fusobacteria)	QQS88170	QQS88172_energy transducer TonB_Fusobacterium canifelinum (fusobacteria)	QQS88172	196	1	QQS88171	QQS88171.1	biopolymer transporter ExbD					
250	339	QQS88496_QQS88498_energy transducer TonB_Fusobacterium canifelinum (fusobacteria)	QQS88496	QQS88498_energy transducer TonB_Fusobacterium canifelinum (fusobacteria)	QQS88498	191	1	QQS88497	QQS88497.1	biopolymer transporter ExbD					
251	349	QTD53836_QTD53838_hypothetical protein_Sulfidibacter corallicola (bacteria)	QTD53836	QTD53838_hypothetical protein_Sulfidibacter corallicola (bacteria)	QTD53838	969	1	QTD53837	QTD53837.1	OmpA family protein					
252	351	QVL32579_QVL32581_biopolymer transporter ExbD_Telmatocola sphagniphila (bacteria)	QVL32579	QVL32581_biopolymer transporter ExbD_Telmatocola sphagniphila (bacteria)	QVL32581	291	1	QVL32580	QVL32580.1	biopolymer transporter ExbD					
253	352	QVL32859_QVL32861_biopolymer transporter ExbD_Telmatocola sphagniphila (bacteria)	QVL32859	QVL32861_biopolymer transporter ExbD_Telmatocola sphagniphila (bacteria)	QVL32861	414	1	QVL32860	QVL32860.1	biopolymer transporter ExbD					
254	356	QZZ19520_QZZ19519_biopolymer transporter ExbD_Leptothermofonsia sichuanensis PKUAC-SCTE412 (cyanobacteria)	QZZ19520	QZZ19519_biopolymer transporter ExbD_Leptothermofonsia sichuanensis PKUAC-SCTE412 (cyanobacteria)	QZZ19519	321	1	QZZ19519	QZZ19519.1	biopolymer transporter ExbD		y			
255	357	QZZ21680_QZZ21679_biopolymer transporter ExbD_Leptothermofonsia sichuanensis PKUAC-SCTE412 (cyanobacteria)	QZZ21680	QZZ21679_biopolymer transporter ExbD_Leptothermofonsia sichuanensis PKUAC-SCTE412 (cyanobacteria)	QZZ21679	327	1	QZZ21679	QZZ21679.1	biopolymer transporter ExbD		y			
256	358	QZZ22141_QZZ22142_biopolymer transporter ExbD_Leptothermofonsia sichuanensis PKUAC-SCTE412 (cyanobacteria)	QZZ22141	QZZ22142_biopolymer transporter ExbD_Leptothermofonsia sichuanensis PKUAC-SCTE412 (cyanobacteria)	QZZ22142	320	1	QZZ22142	QZZ22142.1	biopolymer transporter ExbD		y			
257	359	QZZ23337_QZZ21400_biopolymer transporter ExbD_Leptothermofonsia sichuanensis PKUAC-SCTE412 (cyanobacteria)	QZZ23337	QZZ21400_biopolymer transporter ExbD_Leptothermofonsia sichuanensis PKUAC-SCTE412 (cyanobacteria)	QZZ21400	317	1	QZZ21400	QZZ21400.1	biopolymer transporter ExbD		y			
258	360	SEH78546_SEH78532_biopolymer transport protein exbd/tolr_Akkermansia glycaniphila (verrucomicrobia)	SEH78546	SEH78532_biopolymer transport protein exbd/tolr_Akkermansia glycaniphila (verrucomicrobia)	SEH78532	267	1	SEH78532	SEH78532.1	biopolymer transport protein exbd/tolr		y			
259	361	SEH93354_SEH93343_biopolymer transport protein exbd/tolr_Akkermansia glycaniphila (verrucomicrobia)	SEH93354	SEH93343_biopolymer transport protein exbd/tolr_Akkermansia glycaniphila (verrucomicrobia)	SEH93343	304	1	SEH93343	SEH93343.1	biopolymer transport protein exbd/tolr		y			
260	362	SEH96646_SEH96632_Hypothetical protein_Akkermansia glycaniphila (verrucomicrobia)	SEH96646	SEH96632_Hypothetical protein_Akkermansia glycaniphila (verrucomicrobia)	SEH96632	360	1	NA	NA	NA					hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
261	363	SEI00245_SEI00267_biopolymer transport protein exbd/tolr_Akkermansia glycaniphila (verrucomicrobia)	SEI00245	SEI00267_biopolymer transport protein exbd/tolr_Akkermansia glycaniphila (verrucomicrobia)	SEI00267	308	1	SEI00267	SEI00267.1	biopolymer transport protein exbd/tolr		y			
262	364	SLM46359_SLM46358_Biopolymer transport protein ExbD_Nitrospira japonica (bacteria)	SLM46359	SLM46358_Biopolymer transport protein ExbD_Nitrospira japonica (bacteria)	SLM46358	645	1	SLM46358	SLM46358.1	Biopolymer transport protein ExbD		y			
263	365	SNW07143_SNW07145_Biopolymer transport protein exbD_Eikenella corrodens (b-proteobacteria)	SNW07143	SNW07145_Biopolymer transport protein exbD_Eikenella corrodens (b-proteobacteria)	SNW07145	695	1	SNW07145	SNW07145.1	Biopolymer transport protein exbD		y			
264	368	UAK42981_UAK42983_biopolymer transporter ExbD_Bacteroides nordii (CFB group bacteria)	UAK42981	UAK42983_biopolymer transporter ExbD_Bacteroides nordii (CFB group bacteria)	UAK42983	381	1	UAK42983	UAK42983.1	biopolymer transporter ExbD		y			
265	369	UBQ04634_UBQ04635_ExbD/TolR family protein_Tepidimonas taiwanensis (b-proteobacteria)	UBQ04634	UBQ04635_ExbD/TolR family protein_Tepidimonas taiwanensis (b-proteobacteria)	UBQ04635	510	1	UBQ04635	UBQ04635.1	ExbD/TolR family protein		y			
266	370	UBQ05764_UBQ05765_flagellar motor protein MotB_Tepidimonas taiwanensis (b-proteobacteria)	UBQ05764	UBQ05765_flagellar motor protein MotB_Tepidimonas taiwanensis (b-proteobacteria)	UBQ05765	1121	1	UBQ05765	UBQ05765.1	flagellar motor protein MotB		y			
267	371	UBQ05954_UBQ05953_biopolymer transporter ExbD_Tepidimonas taiwanensis (b-proteobacteria)	UBQ05954	UBQ05953_biopolymer transporter ExbD_Tepidimonas taiwanensis (b-proteobacteria)	UBQ05953	209	1	UBQ05953	UBQ05953.1	biopolymer transporter ExbD		y			
268	372	UBQ06174_UBQ06173_biopolymer transporter ExbD_Tepidimonas taiwanensis (b-proteobacteria)	UBQ06174	UBQ06173_biopolymer transporter ExbD_Tepidimonas taiwanensis (b-proteobacteria)	UBQ06173	651	1	UBQ06173	UBQ06173.1	biopolymer transporter ExbD		y			
269	373	UBQ06690_UBQ06689_OmpA family protein_Tepidimonas taiwanensis (b-proteobacteria)	UBQ06690	UBQ06689_OmpA family protein_Tepidimonas taiwanensis (b-proteobacteria)	UBQ06689	948	1	UBQ06689	UBQ06689.1	OmpA family protein		y			
270	374	UNU17462_UNU17463_biopolymer transporter ExbD_Microcoleus vaginatus PCC 9802 (cyanobacteria)	UNU17462	UNU17463_biopolymer transporter ExbD_Microcoleus vaginatus PCC 9802 (cyanobacteria)	UNU17463	316	1	UNU17463	UNU17463.1	biopolymer transporter ExbD		y			
